Strain Combination	Observed Ratio (%)	Simulated Mean (%)	Simulated Std Dev (%)
R_S_8, R_S_10, R_S_11, R_S_12, R_S_13	3.58	0.00	0.00
R_S_8, R_S_10, R_S_11, R_S_12, R_S_14	3.25	0.00	0.00
R_S_8, R_S_10, R_S_11, R_S_12, R_S_15	2.96	0.00	0.00
R_S_8, R_S_10, R_S_11, R_S_13, R_S_14	4.14	0.00	0.00
R_S_8, R_S_10, R_S_11, R_S_13, R_S_15	3.65	0.00	0.00
R_S_8, R_S_10, R_S_11, R_S_14, R_S_15	3.80	0.00	0.00
R_S_8, R_S_10, R_S_12, R_S_13, R_S_14	3.81	0.00	0.00
R_S_8, R_S_10, R_S_12, R_S_13, R_S_15	3.07	0.00	0.00
R_S_8, R_S_10, R_S_12, R_S_14, R_S_15	2.98	0.00	0.00
R_S_8, R_S_10, R_S_13, R_S_14, R_S_15	3.95	0.00	0.00
R_S_8, R_S_11, R_S_12, R_S_13, R_S_14	4.34	0.00	0.00
R_S_8, R_S_11, R_S_12, R_S_13, R_S_15	3.76	0.00	0.00
R_S_8, R_S_11, R_S_12, R_S_14, R_S_15	3.20	0.00	0.01
R_S_8, R_S_11, R_S_13, R_S_14, R_S_15	4.19	0.00	0.01
R_S_8, R_S_12, R_S_13, R_S_14, R_S_15	3.87	0.00	0.01
R_S_9, R_S_10, R_S_11, R_S_12, R_S_13	2.81	0.00	0.00
R_S_9, R_S_10, R_S_11, R_S_12, R_S_14	2.82	0.00	0.00
R_S_9, R_S_10, R_S_11, R_S_12, R_S_15	3.10	0.00	0.00
R_S_9, R_S_10, R_S_11, R_S_13, R_S_14	3.32	0.00	0.00
R_S_9, R_S_10, R_S_11, R_S_13, R_S_15	3.44	0.00	0.00
R_S_9, R_S_10, R_S_11, R_S_14, R_S_15	3.87	0.00	0.01
R_S_9, R_S_10, R_S_12, R_S_13, R_S_14	2.83	0.00	0.01
R_S_9, R_S_10, R_S_12, R_S_13, R_S_15	2.72	0.00	0.00
R_S_9, R_S_10, R_S_12, R_S_14, R_S_15	3.31	0.00	0.01
R_S_9, R_S_10, R_S_13, R_S_14, R_S_15	4.00	0.00	0.00
R_S_9, R_S_11, R_S_12, R_S_13, R_S_14	2.54	0.00	0.00
R_S_9, R_S_11, R_S_12, R_S_13, R_S_15	2.55	0.00	0.01
R_S_9, R_S_11, R_S_12, R_S_14, R_S_15	2.77	0.00	0.00
R_S_9, R_S_11, R_S_13, R_S_14, R_S_15	3.27	0.00	0.00
R_S_9, R_S_12, R_S_13, R_S_14, R_S_15	2.69	0.00	0.00
R_S_10, R_S_11, R_S_12, R_S_13, R_S_14	3.22	0.00	0.01
R_S_10, R_S_11, R_S_12, R_S_13, R_S_15	3.25	0.00	0.00
R_S_10, R_S_11, R_S_12, R_S_14, R_S_15	3.18	0.00	0.01
R_S_10, R_S_11, R_S_13, R_S_14, R_S_15	3.81	0.00	0.00
R_S_10, R_S_12, R_S_13, R_S_14, R_S_15	3.93	0.00	0.00
R_S_11, R_S_12, R_S_13, R_S_14, R_S_15	3.61	0.00	0.00
R_S_8, R_S_9, R_S_10, R_S_11, R_S_12, R_S_13	1.88	0.00	0.00
R_S_8, R_S_9, R_S_10, R_S_11, R_S_12, R_S_14	1.95	0.00	0.00
R_S_8, R_S_9, R_S_10, R_S_11, R_S_12, R_S_15	1.64	0.00	0.00
R_S_8, R_S_9, R_S_10, R_S_11, R_S_13, R_S_14	2.79	0.00	0.00
R_S_8, R_S_9, R_S_10, R_S_11, R_S_13, R_S_15	2.41	0.00	0.00
R_S_8, R_S_9, R_S_10, R_S_11, R_S_14, R_S_15	2.61	0.00	0.00
R_S_8, R_S_9, R_S_10, R_S_12, R_S_13, R_S_14	1.94	0.00	0.00
R_S_8, R_S_9, R_S_10, R_S_12, R_S_13, R_S_15	1.65	0.00	0.00
R_S_8, R_S_9, R_S_10, R_S_12, R_S_14, R_S_15	1.71	0.00	0.00
R_S_8, R_S_9, R_S_10, R_S_13, R_S_14, R_S_15	2.56	0.00	0.00
R_S_8, R_S_9, R_S_11, R_S_12, R_S_13, R_S_14	1.95	0.00	0.00
R_S_8, R_S_9, R_S_11, R_S_12, R_S_13, R_S_15	1.85	0.00	0.00
R_S_8, R_S_9, R_S_11, R_S_12, R_S_14, R_S_15	1.93	0.00	0.00
R_S_8, R_S_9, R_S_11, R_S_13, R_S_14, R_S_15	2.64	0.00	0.00
R_S_8, R_S_9, R_S_12, R_S_13, R_S_14, R_S_15	1.81	0.00	0.00
R_S_8, R_S_10, R_S_11, R_S_12, R_S_13, R_S_14	2.65	0.00	0.00
R_S_8, R_S_10, R_S_11, R_S_12, R_S_13, R_S_15	2.49	0.00	0.00
R_S_8, R_S_10, R_S_11, R_S_12, R_S_14, R_S_15	2.24	0.00	0.00
R_S_8, R_S_10, R_S_11, R_S_13, R_S_14, R_S_15	3.22	0.00	0.00
R_S_8, R_S_10, R_S_12, R_S_13, R_S_14, R_S_15	2.74	0.00	0.00
R_S_8, R_S_11, R_S_12, R_S_13, R_S_14, R_S_15	2.85	0.00	0.00
R_S_9, R_S_10, R_S_11, R_S_12, R_S_13, R_S_14	2.10	0.00	0.00
