Strain Combination	Observed Ratio (%)	Simulated Mean (%)	Simulated Std Dev (%)
R_S_8, R_S_9, R_S_10, R_S_11, R_S_13, R_S_14	2.79	0.00	0.00
R_S_8, R_S_9, R_S_10, R_S_11, R_S_13, R_S_15	2.31	0.00	0.00
R_S_8, R_S_9, R_S_10, R_S_11, R_S_14, R_S_15	2.61	0.00	0.00
R_S_8, R_S_9, R_S_10, R_S_12, R_S_13, R_S_14	1.71	0.00	0.00
R_S_8, R_S_9, R_S_10, R_S_12, R_S_13, R_S_15	1.44	0.00	0.00
R_S_8, R_S_9, R_S_10, R_S_12, R_S_14, R_S_15	1.60	0.00	0.00
R_S_8, R_S_9, R_S_10, R_S_13, R_S_14, R_S_15	2.46	0.00	0.00
R_S_8, R_S_9, R_S_11, R_S_12, R_S_13, R_S_14	1.95	0.00	0.00
R_S_8, R_S_9, R_S_11, R_S_12, R_S_13, R_S_15	1.85	0.00	0.00
R_S_8, R_S_9, R_S_11, R_S_12, R_S_14, R_S_15	1.93	0.00	0.00
R_S_8, R_S_9, R_S_11, R_S_13, R_S_14, R_S_15	2.64	0.00	0.00
R_S_8, R_S_9, R_S_12, R_S_13, R_S_14, R_S_15	1.69	0.00	0.00
R_S_8, R_S_10, R_S_11, R_S_12, R_S_13, R_S_14	2.41	0.00	0.00
R_S_8, R_S_10, R_S_11, R_S_12, R_S_13, R_S_15	2.16	0.00	0.00
R_S_8, R_S_10, R_S_11, R_S_12, R_S_14, R_S_15	2.13	0.00	0.00
R_S_8, R_S_10, R_S_11, R_S_13, R_S_14, R_S_15	3.11	0.00	0.00
R_S_8, R_S_10, R_S_12, R_S_13, R_S_14, R_S_15	2.53	0.00	0.00
R_S_8, R_S_11, R_S_12, R_S_13, R_S_14, R_S_15	2.37	0.00	0.00
R_S_9, R_S_10, R_S_11, R_S_12, R_S_13, R_S_14	1.99	0.00	0.00
R_S_9, R_S_10, R_S_11, R_S_12, R_S_13, R_S_15	2.00	0.00	0.00
R_S_9, R_S_10, R_S_11, R_S_12, R_S_14, R_S_15	2.07	0.00	0.00
R_S_9, R_S_10, R_S_11, R_S_13, R_S_14, R_S_15	2.78	0.00	0.00
R_S_9, R_S_10, R_S_12, R_S_13, R_S_14, R_S_15	1.86	0.00	0.00
R_S_9, R_S_11, R_S_12, R_S_13, R_S_14, R_S_15	2.07	0.00	0.00
