lines	n_lines	observed_count	D_value
Ara+1|Ara-1|Ara-4|Ara-6	4	82	53.86914108451408
Ara+1|Ara-1|Ara-5|Ara-6	4	69	42.06229438531077
Ara+1|Ara-2|Ara-3|Ara-4	4	112	42.69865598784176
Ara+1|Ara-2|Ara-3|Ara-5	4	122	44.46891193741059
Ara+1|Ara-2|Ara-3|Ara-6	4	75	35.08364632697711
Ara+1|Ara-2|Ara-4|Ara-5	4	132	58.503138974596034
Ara+1|Ara-2|Ara-4|Ara-6	4	86	47.74277202152534
Ara+1|Ara-2|Ara-5|Ara-6	4	83	45.313481256652594
Ara+1|Ara-3|Ara-4|Ara-5	4	93	46.80248348075409
Ara+1|Ara-3|Ara-4|Ara-6	4	63	40.22634757211104
Ara+1|Ara-3|Ara-5|Ara-6	4	65	36.441364571482495
Ara+1|Ara-4|Ara-5|Ara-6	4	70	51.82070502283904
Ara+2|Ara+3|Ara+4|Ara+5	4	118	51.84482671179202
Ara+2|Ara+3|Ara+4|Ara-1	4	113	53.00250567495256
Ara+2|Ara+3|Ara+4|Ara-2	4	119	48.42485514403453
Ara+2|Ara+3|Ara+4|Ara-3	4	109	46.03613005432529
Ara+2|Ara+3|Ara+4|Ara-4	4	124	64.29278655092693
Ara+2|Ara+3|Ara+4|Ara-5	4	107	51.99739116226
Ara+2|Ara+3|Ara+4|Ara-6	4	83	51.280865987327566
Ara+2|Ara+3|Ara+5|Ara-1	4	114	44.90439525789413
Ara+2|Ara+3|Ara+5|Ara-2	4	135	43.172589215489246
Ara+2|Ara+3|Ara+5|Ara-3	4	132	50.2018697154278
Ara+2|Ara+3|Ara+5|Ara-4	4	118	54.08667848775474
Ara+2|Ara+3|Ara+5|Ara-5	4	119	48.80383466822919
Ara+2|Ara+3|Ara+5|Ara-6	4	77	39.92602190722
Ara+2|Ara+3|Ara-1|Ara-2	4	144	49.21099340888239
Ara+2|Ara+3|Ara-1|Ara-3	4	113	39.32407065706344
Ara+2|Ara+3|Ara-1|Ara-4	4	147	68.58558867285612
Ara+2|Ara+3|Ara-1|Ara-5	4	125	51.85565796199518
Ara+2|Ara+3|Ara-1|Ara-6	4	88	48.86244970231306
Ara+2|Ara+3|Ara-2|Ara-3	4	151	49.077034352909486
Ara+2|Ara+3|Ara-2|Ara-4	4	158	63.24839298983637
Ara+2|Ara+3|Ara-2|Ara-5	4	129	45.34843337829197
Ara+2|Ara+3|Ara-2|Ara-6	4	88	39.717588257602735
Ara+2|Ara+3|Ara-3|Ara-4	4	113	48.87611720335638
Ara+2|Ara+3|Ara-3|Ara-5	4	108	42.50553132246232
