Strain Combination	Observed Ratio (%)	Simulated Mean (%)	Simulated Std Dev (%)
ALE5 at 42C, ALE6 at 42C, ALE9 at 42C	25.43	1.42	0.53
ALE5 at 42C, ALE6 at 42C, ALE10 at 42C	23.45	1.78	0.56
ALE5 at 42C, ALE7 at 42C, ALE8 at 42C	21.70	1.75	0.54
ALE5 at 42C, ALE7 at 42C, ALE9 at 42C	34.26	1.48	0.52
ALE5 at 42C, ALE7 at 42C, ALE10 at 42C	31.95	1.84	0.54
ALE5 at 42C, ALE8 at 42C, ALE9 at 42C	26.46	1.14	0.54
ALE5 at 42C, ALE8 at 42C, ALE10 at 42C	26.60	1.40	0.52
ALE5 at 42C, ALE9 at 42C, ALE10 at 42C	38.03	1.20	0.50
ALE6 at 42C, ALE7 at 42C, ALE8 at 42C	34.89	3.09	0.64
ALE6 at 42C, ALE7 at 42C, ALE9 at 42C	21.75	2.62	0.62
ALE6 at 42C, ALE7 at 42C, ALE10 at 42C	36.65	3.27	0.68
ALE6 at 42C, ALE8 at 42C, ALE9 at 42C	21.03	1.90	0.58
ALE6 at 42C, ALE8 at 42C, ALE10 at 42C	42.29	2.35	0.62
ALE6 at 42C, ALE9 at 42C, ALE10 at 42C	23.47	1.99	0.59
ALE7 at 42C, ALE8 at 42C, ALE9 at 42C	19.49	1.95	0.56
ALE7 at 42C, ALE8 at 42C, ALE10 at 42C	38.94	2.45	0.63
ALE7 at 42C, ALE9 at 42C, ALE10 at 42C	29.14	2.04	0.57
ALE8 at 42C, ALE9 at 42C, ALE10 at 42C	24.63	1.53	0.58
ALE1 at 42C, ALE2 at 42C, ALE3 at 42C, ALE4 at 42C	24.88	0.17	0.19
ALE1 at 42C, ALE2 at 42C, ALE3 at 42C, ALE5 at 42C	27.07	0.12	0.17
ALE1 at 42C, ALE2 at 42C, ALE3 at 42C, ALE6 at 42C	17.67	0.22	0.20
ALE1 at 42C, ALE2 at 42C, ALE3 at 42C, ALE7 at 42C	21.36	0.22	0.19
ALE1 at 42C, ALE2 at 42C, ALE3 at 42C, ALE8 at 42C	19.49	0.17	0.19
ALE1 at 42C, ALE2 at 42C, ALE3 at 42C, ALE9 at 42C	27.66	0.14	0.18
ALE1 at 42C, ALE2 at 42C, ALE3 at 42C, ALE10 at 42C	24.18	0.18	0.19
ALE1 at 42C, ALE2 at 42C, ALE4 at 42C, ALE5 at 42C	27.30	0.15	0.18
ALE1 at 42C, ALE2 at 42C, ALE4 at 42C, ALE6 at 42C	18.22	0.28	0.23
ALE1 at 42C, ALE2 at 42C, ALE4 at 42C, ALE7 at 42C	22.38	0.30	0.23
ALE1 at 42C, ALE2 at 42C, ALE4 at 42C, ALE8 at 42C	21.39	0.21	0.20
ALE1 at 42C, ALE2 at 42C, ALE4 at 42C, ALE9 at 42C	25.12	0.18	0.19
ALE1 at 42C, ALE2 at 42C, ALE4 at 42C, ALE10 at 42C	25.74	0.23	0.21
ALE1 at 42C, ALE2 at 42C, ALE5 at 42C, ALE6 at 42C	17.70	0.22	0.20
ALE1 at 42C, ALE2 at 42C, ALE5 at 42C, ALE7 at 42C	23.41	0.23	0.21
ALE1 at 42C, ALE2 at 42C, ALE5 at 42C, ALE8 at 42C	19.96	0.16	0.20
ALE1 at 42C, ALE2 at 42C, ALE5 at 42C, ALE9 at 42C	28.39	0.14	0.18
ALE1 at 42C, ALE2 at 42C, ALE5 at 42C, ALE10 at 42C	25.69	0.17	0.18
ALE1 at 42C, ALE2 at 42C, ALE6 at 42C, ALE7 at 42C	15.18	0.42	0.25
ALE1 at 42C, ALE2 at 42C, ALE6 at 42C, ALE8 at 42C	17.17	0.31	0.23
ALE1 at 42C, ALE2 at 42C, ALE6 at 42C, ALE9 at 42C	16.93	0.26	0.22
ALE1 at 42C, ALE2 at 42C, ALE6 at 42C, ALE10 at 42C	17.46	0.32	0.24
ALE1 at 42C, ALE2 at 42C, ALE7 at 42C, ALE8 at 42C	17.22	0.31	0.22
ALE1 at 42C, ALE2 at 42C, ALE7 at 42C, ALE9 at 42C	21.46	0.25	0.20
ALE1 at 42C, ALE2 at 42C, ALE7 at 42C, ALE10 at 42C	21.88	0.32	0.23
ALE1 at 42C, ALE2 at 42C, ALE8 at 42C, ALE9 at 42C	18.41	0.18	0.20
ALE1 at 42C, ALE2 at 42C, ALE8 at 42C, ALE10 at 42C	20.44	0.23	0.21
ALE1 at 42C, ALE2 at 42C, ALE9 at 42C, ALE10 at 42C	24.63	0.19	0.19
ALE1 at 42C, ALE3 at 42C, ALE4 at 42C, ALE5 at 42C	25.34	0.15	0.18
ALE1 at 42C, ALE3 at 42C, ALE4 at 42C, ALE6 at 42C	17.93	0.28	0.22
ALE1 at 42C, ALE3 at 42C, ALE4 at 42C, ALE7 at 42C	21.11	0.27	0.23
