Strain Combination	Observed Ratio (%)	Simulated Mean (%)	Simulated Std Dev (%)
ALE1 at 42C,ALE4 at 42C,ALE9 at 42C,ALE10 at 42C	0.97	0.00	0.03
ALE1 at 42C,ALE5 at 42C,ALE6 at 42C,ALE7 at 42C	0.16	0.00	0.02
ALE1 at 42C,ALE5 at 42C,ALE6 at 42C,ALE8 at 42C	0.88	0.00	0.02
ALE1 at 42C,ALE5 at 42C,ALE6 at 42C,ALE9 at 42C	1.11	0.00	0.03
ALE1 at 42C,ALE5 at 42C,ALE6 at 42C,ALE10 at 42C	0.52	0.00	0.02
ALE1 at 42C,ALE5 at 42C,ALE7 at 42C,ALE8 at 42C	0.35	0.00	0.02
ALE1 at 42C,ALE5 at 42C,ALE7 at 42C,ALE9 at 42C	0.00	0.00	0.02
ALE1 at 42C,ALE5 at 42C,ALE7 at 42C,ALE10 at 42C	0.34	0.00	0.03
ALE1 at 42C,ALE5 at 42C,ALE8 at 42C,ALE9 at 42C	0.84	0.00	0.02
ALE1 at 42C,ALE5 at 42C,ALE8 at 42C,ALE10 at 42C	0.59	0.00	0.02
ALE1 at 42C,ALE5 at 42C,ALE9 at 42C,ALE10 at 42C	0.21	0.00	0.02
ALE1 at 42C,ALE6 at 42C,ALE7 at 42C,ALE8 at 42C	2.34	0.00	0.02
ALE1 at 42C,ALE6 at 42C,ALE7 at 42C,ALE9 at 42C	0.15	0.00	0.03
ALE1 at 42C,ALE6 at 42C,ALE7 at 42C,ALE10 at 42C	1.59	0.01	0.03
ALE1 at 42C,ALE6 at 42C,ALE8 at 42C,ALE9 at 42C	0.69	0.00	0.03
ALE1 at 42C,ALE6 at 42C,ALE8 at 42C,ALE10 at 42C	2.60	0.01	0.03
ALE1 at 42C,ALE6 at 42C,ALE9 at 42C,ALE10 at 42C	0.34	0.00	0.02
ALE1 at 42C,ALE7 at 42C,ALE8 at 42C,ALE9 at 42C	0.34	0.00	0.02
ALE1 at 42C,ALE7 at 42C,ALE8 at 42C,ALE10 at 42C	1.60	0.00	0.02
ALE1 at 42C,ALE7 at 42C,ALE9 at 42C,ALE10 at 42C	0.84	0.00	0.03
ALE1 at 42C,ALE8 at 42C,ALE9 at 42C,ALE10 at 42C	0.38	0.00	0.03
ALE2 at 42C,ALE3 at 42C,ALE4 at 42C,ALE5 at 42C	2.82	0.00	0.01
ALE2 at 42C,ALE3 at 42C,ALE4 at 42C,ALE6 at 42C	0.81	0.00	0.03
ALE2 at 42C,ALE3 at 42C,ALE4 at 42C,ALE7 at 42C	0.79	0.00	0.02
ALE2 at 42C,ALE3 at 42C,ALE4 at 42C,ALE8 at 42C	1.16	0.00	0.02
ALE2 at 42C,ALE3 at 42C,ALE4 at 42C,ALE9 at 42C	1.99	0.00	0.02
ALE2 at 42C,ALE3 at 42C,ALE4 at 42C,ALE10 at 42C	1.37	0.00	0.02
ALE2 at 42C,ALE3 at 42C,ALE5 at 42C,ALE6 at 42C	1.08	0.00	0.02
ALE2 at 42C,ALE3 at 42C,ALE5 at 42C,ALE7 at 42C	0.85	0.00	0.01
ALE2 at 42C,ALE3 at 42C,ALE5 at 42C,ALE8 at 42C	1.27	0.00	0.02
ALE2 at 42C,ALE3 at 42C,ALE5 at 42C,ALE9 at 42C	2.45	0.00	0.02
ALE2 at 42C,ALE3 at 42C,ALE5 at 42C,ALE10 at 42C	0.99	0.00	0.02
ALE2 at 42C,ALE3 at 42C,ALE6 at 42C,ALE7 at 42C	0.17	0.00	0.02
ALE2 at 42C,ALE3 at 42C,ALE6 at 42C,ALE8 at 42C	0.80	0.00	0.03
ALE2 at 42C,ALE3 at 42C,ALE6 at 42C,ALE9 at 42C	1.27	0.00	0.02
ALE2 at 42C,ALE3 at 42C,ALE6 at 42C,ALE10 at 42C	1.18	0.00	0.03
ALE2 at 42C,ALE3 at 42C,ALE7 at 42C,ALE8 at 42C	0.39	0.00	0.02
ALE2 at 42C,ALE3 at 42C,ALE7 at 42C,ALE9 at 42C	0.41	0.00	0.03
ALE2 at 42C,ALE3 at 42C,ALE7 at 42C,ALE10 at 42C	0.39	0.00	0.02
ALE2 at 42C,ALE3 at 42C,ALE8 at 42C,ALE9 at 42C	1.23	0.00	0.02
ALE2 at 42C,ALE3 at 42C,ALE8 at 42C,ALE10 at 42C	0.68	0.00	0.02
ALE2 at 42C,ALE3 at 42C,ALE9 at 42C,ALE10 at 42C	2.17	0.00	0.02
ALE2 at 42C,ALE4 at 42C,ALE5 at 42C,ALE6 at 42C	0.81	0.00	0.02
