Strain Combination	Observed Ratio (%)	Simulated Mean (%)	Simulated Std Dev (%)	D Value
KCl-KCl-5,CoCl2-CoCl2-1	3.8	0.2	0.9	3.86
KCl-KCl-5,CoCl2-CoCl2-2	0.0	0.1	1.0	-0.14
KCl-KCl-5,CoCl2-CoCl2-3	4.3	0.2	0.9	4.50
KCl-KCl-5,CoCl2-CoCl2-4	4.3	0.1	0.8	5.25
KCl-KCl-5,CoCl2-CoCl2-5	0.0	0.1	0.7	-0.17
KCl-KCl-1,Na2CO3-Na2CO3-1	15.7	0.6	1.0	15.37
KCl-KCl-1,Na2CO3-Na2CO3-2	9.3	0.6	1.1	8.20
KCl-KCl-1,Na2CO3-Na2CO3-3	26.2	0.7	1.0	25.07
KCl-KCl-1,Na2CO3-Na2CO3-4	5.5	0.6	1.0	4.68
KCl-KCl-1,Na2CO3-Na2CO3-5	3.5	0.6	1.1	2.75
KCl-KCl-2,Na2CO3-Na2CO3-1	0.0	0.3	0.8	-0.34
KCl-KCl-2,Na2CO3-Na2CO3-2	0.0	0.3	1.0	-0.34
KCl-KCl-2,Na2CO3-Na2CO3-3	0.0	0.3	0.9	-0.30
KCl-KCl-2,Na2CO3-Na2CO3-4	3.1	0.2	0.8	3.44
KCl-KCl-2,Na2CO3-Na2CO3-5	2.9	0.3	1.0	2.70
KCl-KCl-3,Na2CO3-Na2CO3-1	11.4	0.4	0.9	12.38
KCl-KCl-3,Na2CO3-Na2CO3-2	14.5	0.4	1.0	13.52
KCl-KCl-3,Na2CO3-Na2CO3-3	31.3	0.4	1.0	32.41
KCl-KCl-3,Na2CO3-Na2CO3-4	8.5	0.4	1.0	8.25
KCl-KCl-3,Na2CO3-Na2CO3-5	5.4	0.4	1.0	4.95
KCl-KCl-4,Na2CO3-Na2CO3-1	2.4	0.4	1.0	1.93
KCl-KCl-4,Na2CO3-Na2CO3-2	3.0	0.3	1.0	2.76
KCl-KCl-4,Na2CO3-Na2CO3-3	2.5	0.4	1.0	2.07
KCl-KCl-4,Na2CO3-Na2CO3-4	5.9	0.3	1.0	5.45
KCl-KCl-4,Na2CO3-Na2CO3-5	5.6	0.3	1.0	5.40
KCl-KCl-5,Na2CO3-Na2CO3-1	0.0	0.2	0.7	-0.30
KCl-KCl-5,Na2CO3-Na2CO3-2	0.0	0.3	0.9	-0.28
KCl-KCl-5,Na2CO3-Na2CO3-3	0.0	0.2	0.8	-0.30
KCl-KCl-5,Na2CO3-Na2CO3-4	0.0	0.2	0.8	-0.26
KCl-KCl-5,Na2CO3-Na2CO3-5	0.0	0.2	0.8	-0.27
KCl-KCl-1,Lac-Lac-1	0.0	0.2	0.7	-0.24
KCl-KCl-1,Lac-Lac-2	0.0	0.2	0.7	-0.25
KCl-KCl-1,Lac-Lac-3	2.5	0.2	0.8	2.81
KCl-KCl-1,Lac-Lac-4	0.0	0.3	0.8	-0.32
KCl-KCl-1,Lac-Lac-5	20.8	0.5	1.0	20.99
KCl-KCl-2,Lac-Lac-1	0.0	0.1	0.9	-0.14
KCl-KCl-2,Lac-Lac-2	0.0	0.2	1.1	-0.16
KCl-KCl-2,Lac-Lac-3	0.0	0.2	1.0	-0.18
