Strain Combination	Observed Ratio (%)	Observed Count	Simulated Mean (%)	Simulated Std Dev (%)	D Value
NaCl-NaCl-1,KCl-KCl-1	30.00	18	0.57	0.98	30.16
NaCl-NaCl-1,KCl-KCl-2	24.00	9	0.26	0.85	27.93
NaCl-NaCl-1,KCl-KCl-3	41.98	17	0.40	0.96	43.51
NaCl-NaCl-1,KCl-KCl-4	33.33	13	0.40	0.99	33.12
NaCl-NaCl-1,KCl-KCl-5	2.82	1	0.23	0.82	3.16
NaCl-NaCl-2,KCl-KCl-1	36.19	19	0.47	0.91	39.23
NaCl-NaCl-2,KCl-KCl-2	23.33	7	0.24	0.91	25.33
NaCl-NaCl-2,KCl-KCl-3	48.48	16	0.36	1.03	46.62
NaCl-NaCl-2,KCl-KCl-4	19.05	6	0.30	0.95	19.78
NaCl-NaCl-2,KCl-KCl-5	3.57	1	0.20	0.87	3.86
NaCl-NaCl-3,KCl-KCl-1	9.52	4	0.30	0.89	10.35
NaCl-NaCl-3,KCl-KCl-2	41.03	8	0.27	1.17	34.79
NaCl-NaCl-3,KCl-KCl-3	40.00	9	0.27	1.10	36.11
NaCl-NaCl-3,KCl-KCl-4	42.86	9	0.26	1.13	37.81
NaCl-NaCl-3,KCl-KCl-5	5.71	1	0.23	1.18	4.66
NaCl-NaCl-4,KCl-KCl-1	10.81	4	0.23	0.80	13.15
NaCl-NaCl-4,KCl-KCl-2	48.28	7	0.21	1.20	40.21
NaCl-NaCl-4,KCl-KCl-3	40.00	7	0.11	0.78	51.13
NaCl-NaCl-4,KCl-KCl-4	31.25	5	0.14	0.98	31.82
NaCl-NaCl-4,KCl-KCl-5	8.00	1	0.14	1.06	7.39
NaCl-NaCl-5,KCl-KCl-1	10.13	4	0.22	0.72	13.79
NaCl-NaCl-5,KCl-KCl-2	29.41	5	0.25	1.24	23.57
NaCl-NaCl-5,KCl-KCl-3	25.00	5	0.18	0.92	27.02
NaCl-NaCl-5,KCl-KCl-4	32.43	6	0.18	1.01	31.96
NaCl-NaCl-5,KCl-KCl-5	13.33	2	0.21	1.19	11.00
NaCl-NaCl-1,CoCl2-CoCl2-1	0.00	0	0.65	1.16	-0.56
NaCl-NaCl-1,CoCl2-CoCl2-2	0.00	0	0.28	0.89	-0.31
NaCl-NaCl-1,CoCl2-CoCl2-3	6.90	3	0.46	1.02	6.34
NaCl-NaCl-1,CoCl2-CoCl2-4	2.27	1	0.50	1.06	1.68
NaCl-NaCl-1,CoCl2-CoCl2-5	11.49	5	0.53	1.12	9.81
NaCl-NaCl-2,CoCl2-CoCl2-1	0.00	0	0.47	1.15	-0.41
NaCl-NaCl-2,CoCl2-CoCl2-2	0.00	0	0.21	0.87	-0.24
NaCl-NaCl-2,CoCl2-CoCl2-3	0.00	0	0.45	1.13	-0.40
NaCl-NaCl-2,CoCl2-CoCl2-4	0.00	0	0.45	1.10	-0.41
NaCl-NaCl-2,CoCl2-CoCl2-5	0.00	0	0.44	1.11	-0.40
NaCl-NaCl-3,CoCl2-CoCl2-1	0.00	0	0.26	0.97	-0.26
NaCl-NaCl-3,CoCl2-CoCl2-2	0.00	0	0.24	1.17	-0.21
NaCl-NaCl-3,CoCl2-CoCl2-3	3.92	1	0.19	0.86	4.36
NaCl-NaCl-3,CoCl2-CoCl2-4	0.00	0	0.19	0.87	-0.22
NaCl-NaCl-3,CoCl2-CoCl2-5	15.69	4	0.13	0.69	22.55
NaCl-NaCl-4,CoCl2-CoCl2-1	0.00	0	0.09	0.61	-0.15
NaCl-NaCl-4,CoCl2-CoCl2-2	0.00	0	0.11	0.94	-0.11
NaCl-NaCl-4,CoCl2-CoCl2-3	0.00	0	0.04	0.46	-0.10
NaCl-NaCl-4,CoCl2-CoCl2-4	0.00	0	0.07	0.56	-0.12
NaCl-NaCl-4,CoCl2-CoCl2-5	0.00	0	0.00	0.00	0.00
NaCl-NaCl-5,CoCl2-CoCl2-1	0.00	0	0.18	0.81	-0.22
NaCl-NaCl-5,CoCl2-CoCl2-2	0.00	0	0.15	1.01	-0.15
NaCl-NaCl-5,CoCl2-CoCl2-3	0.00	0	0.17	0.84	-0.20
NaCl-NaCl-5,CoCl2-CoCl2-4	0.00	0	0.11	0.68	-0.16
NaCl-NaCl-5,CoCl2-CoCl2-5	0.00	0	0.14	0.79	-0.18
NaCl-NaCl-1,Na2CO3-Na2CO3-1	3.36	2	0.63	1.05	2.60
NaCl-NaCl-1,Na2CO3-Na2CO3-2	4.00	2	0.53	0.97	3.59
NaCl-NaCl-1,Na2CO3-Na2CO3-3	22.81	13	0.61	1.08	20.49
NaCl-NaCl-1,Na2CO3-Na2CO3-4	5.88	3	0.58	1.07	4.97
NaCl-NaCl-1,Na2CO3-Na2CO3-5	5.71	3	0.63	1.06	4.80
NaCl-NaCl-2,Na2CO3-Na2CO3-1	3.85	2	0.51	0.97	3.42
NaCl-NaCl-2,Na2CO3-Na2CO3-2	4.71	2	0.45	0.99	4.31
NaCl-NaCl-2,Na2CO3-Na2CO3-3	26.26	13	0.54	1.08	23.88
NaCl-NaCl-2,Na2CO3-Na2CO3-4	2.30	1	0.46	1.05	1.76
NaCl-NaCl-2,Na2CO3-Na2CO3-5	2.22	1	0.48	1.06	1.65
NaCl-NaCl-3,Na2CO3-Na2CO3-1	0.00	0	0.30	0.88	-0.35
NaCl-NaCl-3,Na2CO3-Na2CO3-2	0.00	0	0.28	0.92	-0.30
NaCl-NaCl-3,Na2CO3-Na2CO3-3	0.00	0	0.25	0.81	-0.31
NaCl-NaCl-3,Na2CO3-Na2CO3-4	3.03	1	0.28	0.93	2.95
NaCl-NaCl-3,Na2CO3-Na2CO3-5	2.90	1	0.28	0.88	2.97
NaCl-NaCl-4,Na2CO3-Na2CO3-1	0.00	0	0.16	0.66	-0.25
NaCl-NaCl-4,Na2CO3-Na2CO3-2	0.00	0	0.17	0.81	-0.21
NaCl-NaCl-4,Na2CO3-Na2CO3-3	0.00	0	0.14	0.64	-0.22
NaCl-NaCl-4,Na2CO3-Na2CO3-4	3.57	1	0.11	0.63	5.50
NaCl-NaCl-4,Na2CO3-Na2CO3-5	3.39	1	0.15	0.70	4.61
NaCl-NaCl-5,Na2CO3-Na2CO3-1	0.00	0	0.29	0.86	-0.33
NaCl-NaCl-5,Na2CO3-Na2CO3-2	0.00	0	0.18	0.77	-0.23
NaCl-NaCl-5,Na2CO3-Na2CO3-3	0.00	0	0.20	0.74	-0.27
NaCl-NaCl-5,Na2CO3-Na2CO3-4	3.28	1	0.23	0.86	3.54
NaCl-NaCl-5,Na2CO3-Na2CO3-5	3.12	1	0.27	0.96	2.99
NaCl-NaCl-1,Lac-Lac-1	0.00	0	0.19	0.79	-0.24
NaCl-NaCl-1,Lac-Lac-2	0.00	0	0.18	0.73	-0.25
NaCl-NaCl-1,Lac-Lac-3	0.00	0	0.27	0.86	-0.32
NaCl-NaCl-1,Lac-Lac-4	0.00	0	0.19	0.73	-0.26
NaCl-NaCl-1,Lac-Lac-5	2.27	1	0.42	0.96	1.92
NaCl-NaCl-2,Lac-Lac-1	0.00	0	0.18	0.86	-0.21
NaCl-NaCl-2,Lac-Lac-2	0.00	0	0.16	0.78	-0.21
NaCl-NaCl-2,Lac-Lac-3	0.00	0	0.25	0.98	-0.26
NaCl-NaCl-2,Lac-Lac-4	0.00	0	0.25	0.93	-0.27
NaCl-NaCl-2,Lac-Lac-5	0.00	0	0.34	0.95	-0.36
NaCl-NaCl-3,Lac-Lac-1	0.00	0	0.12	0.97	-0.13
NaCl-NaCl-3,Lac-Lac-2	0.00	0	0.13	0.91	-0.14
NaCl-NaCl-3,Lac-Lac-3	0.00	0	0.21	1.08	-0.20
NaCl-NaCl-3,Lac-Lac-4	0.00	0	0.20	1.07	-0.19
NaCl-NaCl-3,Lac-Lac-5	0.00	0	0.32	1.12	-0.29
NaCl-NaCl-4,Lac-Lac-1	0.00	0	0.09	0.99	-0.10
NaCl-NaCl-4,Lac-Lac-2	0.00	0	0.14	1.17	-0.12
NaCl-NaCl-4,Lac-Lac-3	0.00	0	0.19	1.22	-0.16
NaCl-NaCl-4,Lac-Lac-4	0.00	0	0.19	1.25	-0.15
NaCl-NaCl-4,Lac-Lac-5	0.00	0	0.17	0.96	-0.18
NaCl-NaCl-5,Lac-Lac-1	0.00	0	0.12	1.01	-0.12
NaCl-NaCl-5,Lac-Lac-2	0.00	0	0.17	1.15	-0.15
NaCl-NaCl-5,Lac-Lac-3	0.00	0	0.16	1.02	-0.16
NaCl-NaCl-5,Lac-Lac-4	0.00	0	0.19	1.12	-0.17
NaCl-NaCl-5,Lac-Lac-5	0.00	0	0.27	1.10	-0.24
NaCl-NaCl-1,Mal-Mal-1	0.00	0	0.14	0.67	-0.21
NaCl-NaCl-1,Mal-Mal-2	0.00	0	0.05	0.41	-0.12
NaCl-NaCl-1,Mal-Mal-3	0.00	0	0.32	0.95	-0.34
NaCl-NaCl-1,Mal-Mal-4	0.00	0	0.03	0.32	-0.10
NaCl-NaCl-1,Mal-Mal-5	0.00	0	0.16	0.68	-0.23
NaCl-NaCl-2,Mal-Mal-1	4.08	1	0.13	0.75	5.25
NaCl-NaCl-2,Mal-Mal-2	0.00	0	0.05	0.45	-0.10
NaCl-NaCl-2,Mal-Mal-3	3.39	1	0.27	0.98	3.20
NaCl-NaCl-2,Mal-Mal-4	0.00	0	0.05	0.45	-0.10
NaCl-NaCl-2,Mal-Mal-5	0.00	0	0.16	0.79	-0.21
NaCl-NaCl-3,Mal-Mal-1	0.00	0	0.15	1.02	-0.15
NaCl-NaCl-3,Mal-Mal-2	8.70	1	0.08	0.82	10.49
NaCl-NaCl-3,Mal-Mal-3	0.00	0	0.20	1.06	-0.19
NaCl-NaCl-3,Mal-Mal-4	8.70	1	0.07	0.77	11.14
NaCl-NaCl-3,Mal-Mal-5	0.00	0	0.12	0.92	-0.14
NaCl-NaCl-4,Mal-Mal-1	0.00	0	0.17	1.35	-0.12
NaCl-NaCl-4,Mal-Mal-2	0.00	0	0.06	0.97	-0.06
NaCl-NaCl-4,Mal-Mal-3	0.00	0	0.11	0.93	-0.12
NaCl-NaCl-4,Mal-Mal-4	0.00	0	0.11	1.28	-0.08
NaCl-NaCl-4,Mal-Mal-5	0.00	0	0.16	1.36	-0.12
NaCl-NaCl-5,Mal-Mal-1	0.00	0	0.14	1.16	-0.12
NaCl-NaCl-5,Mal-Mal-2	11.11	1	0.08	0.93	11.91
NaCl-NaCl-5,Mal-Mal-3	0.00	0	0.16	1.05	-0.16
NaCl-NaCl-5,Mal-Mal-4	11.11	1	0.12	1.16	9.48
NaCl-NaCl-5,Mal-Mal-5	0.00	0	0.18	1.19	-0.15
NaCl-NaCl-1,MCL-MCL-1	0.00	0	0.29	0.86	-0.34
NaCl-NaCl-1,MCL-MCL-2	0.00	0	0.26	0.84	-0.31
NaCl-NaCl-1,MCL-MCL-3	0.00	0	0.47	1.06	-0.44
NaCl-NaCl-1,MCL-MCL-4	0.00	0	0.49	1.00	-0.49
NaCl-NaCl-1,MCL-MCL-5	0.00	0	0.31	0.92	-0.33
NaCl-NaCl-2,MCL-MCL-1	3.12	1	0.34	1.03	2.70
NaCl-NaCl-2,MCL-MCL-2	0.00	0	0.17	0.77	-0.22
NaCl-NaCl-2,MCL-MCL-3	0.00	0	0.40	1.11	-0.36
NaCl-NaCl-2,MCL-MCL-4	0.00	0	0.42	0.99	-0.43
NaCl-NaCl-2,MCL-MCL-5	0.00	0	0.28	0.92	-0.31
NaCl-NaCl-3,MCL-MCL-1	0.00	0	0.25	1.11	-0.23
NaCl-NaCl-3,MCL-MCL-2	0.00	0	0.19	1.07	-0.18
NaCl-NaCl-3,MCL-MCL-3	0.00	0	0.16	0.80	-0.20
NaCl-NaCl-3,MCL-MCL-4	0.00	0	0.29	0.97	-0.30
NaCl-NaCl-3,MCL-MCL-5	0.00	0	0.30	1.12	-0.26
NaCl-NaCl-4,MCL-MCL-1	0.00	0	0.26	1.23	-0.21
NaCl-NaCl-4,MCL-MCL-2	0.00	0	0.21	1.39	-0.15
NaCl-NaCl-4,MCL-MCL-3	0.00	0	0.18	0.98	-0.19
NaCl-NaCl-4,MCL-MCL-4	0.00	0	0.21	0.88	-0.24
NaCl-NaCl-4,MCL-MCL-5	0.00	0	0.22	1.16	-0.19
NaCl-NaCl-5,MCL-MCL-1	0.00	0	0.31	1.27	-0.24
NaCl-NaCl-5,MCL-MCL-2	0.00	0	0.19	1.14	-0.16
NaCl-NaCl-5,MCL-MCL-3	0.00	0	0.25	1.07	-0.24
NaCl-NaCl-5,MCL-MCL-4	0.00	0	0.26	0.94	-0.28
NaCl-NaCl-5,MCL-MCL-5	0.00	0	0.33	1.26	-0.26
NaCl-NaCl-1,Cro-Cro-1	10.43	6	0.53	0.96	10.32
NaCl-NaCl-1,Cro-Cro-2	10.34	6	0.66	1.09	8.91
NaCl-NaCl-1,Cro-Cro-3	15.19	6	0.33	0.94	15.88
NaCl-NaCl-1,Cro-Cro-4	11.01	6	0.60	1.04	9.98
NaCl-NaCl-1,Cro-Cro-5	13.33	6	0.44	0.96	13.40
NaCl-NaCl-2,Cro-Cro-1	14.00	7	0.48	0.98	13.77
NaCl-NaCl-2,Cro-Cro-2	13.86	7	0.53	1.05	12.67
NaCl-NaCl-2,Cro-Cro-3	18.75	6	0.30	0.96	19.30
NaCl-NaCl-2,Cro-Cro-4	12.77	6	0.48	1.00	12.26
NaCl-NaCl-2,Cro-Cro-5	16.00	6	0.37	1.04	14.99
NaCl-NaCl-3,Cro-Cro-1	17.72	7	0.33	0.88	19.74
NaCl-NaCl-3,Cro-Cro-2	17.50	7	0.36	0.96	17.79
NaCl-NaCl-3,Cro-Cro-3	27.91	6	0.30	1.14	24.25
NaCl-NaCl-3,Cro-Cro-4	16.44	6	0.43	1.07	14.93
NaCl-NaCl-3,Cro-Cro-5	25.93	7	0.33	1.12	22.79
NaCl-NaCl-4,Cro-Cro-1	17.39	6	0.21	0.78	22.00
NaCl-NaCl-4,Cro-Cro-2	17.14	6	0.21	0.76	22.14
NaCl-NaCl-4,Cro-Cro-3	36.36	6	0.21	1.10	32.92
NaCl-NaCl-4,Cro-Cro-4	19.05	6	0.26	0.89	21.13
NaCl-NaCl-4,Cro-Cro-5	27.27	6	0.24	1.02	26.55
NaCl-NaCl-5,Cro-Cro-1	16.22	6	0.26	0.83	19.26
NaCl-NaCl-5,Cro-Cro-2	16.00	6	0.24	0.81	19.41
NaCl-NaCl-5,Cro-Cro-3	31.58	6	0.25	1.17	26.70
NaCl-NaCl-5,Cro-Cro-4	17.65	6	0.29	0.91	19.13
NaCl-NaCl-5,Cro-Cro-5	24.49	6	0.24	1.02	23.78
NaCl-NaCl-1,MG-MG-1	35.19	19	0.61	1.08	32.10
NaCl-NaCl-1,MG-MG-2	38.71	18	0.58	1.17	32.50
NaCl-NaCl-1,MG-MG-3	32.26	15	0.57	1.05	30.31
NaCl-NaCl-1,MG-MG-4	24.49	12	0.56	1.06	22.68
NaCl-NaCl-1,MG-MG-5	40.45	18	0.54	1.09	36.68
NaCl-NaCl-2,MG-MG-1	49.46	23	0.52	1.05	46.65
NaCl-NaCl-2,MG-MG-2	53.85	21	0.47	1.07	50.07
NaCl-NaCl-2,MG-MG-3	48.72	19	0.49	1.13	42.50
NaCl-NaCl-2,MG-MG-4	31.33	13	0.46	1.07	28.80
NaCl-NaCl-2,MG-MG-5	59.46	22	0.52	1.17	50.24
NaCl-NaCl-3,MG-MG-1	0.00	0	0.24	0.83	-0.29
NaCl-NaCl-3,MG-MG-2	0.00	0	0.16	0.73	-0.22
NaCl-NaCl-3,MG-MG-3	0.00	0	0.16	0.74	-0.21
NaCl-NaCl-3,MG-MG-4	3.23	1	0.27	0.96	3.09
NaCl-NaCl-3,MG-MG-5	0.00	0	0.11	0.66	-0.17
NaCl-NaCl-4,MG-MG-1	0.00	0	0.08	0.53	-0.16
NaCl-NaCl-4,MG-MG-2	0.00	0	0.03	0.35	-0.08
NaCl-NaCl-4,MG-MG-3	0.00	0	0.01	0.23	-0.05
NaCl-NaCl-4,MG-MG-4	0.00	0	0.16	0.77	-0.21
NaCl-NaCl-4,MG-MG-5	0.00	0	0.00	0.00	0.00
NaCl-NaCl-5,MG-MG-1	0.00	0	0.17	0.74	-0.23
NaCl-NaCl-5,MG-MG-2	0.00	0	0.10	0.61	-0.16
NaCl-NaCl-5,MG-MG-3	0.00	0	0.10	0.62	-0.17
NaCl-NaCl-5,MG-MG-4	0.00	0	0.21	0.88	-0.24
NaCl-NaCl-5,MG-MG-5	0.00	0	0.08	0.57	-0.14
NaCl-NaCl-1,BuOH-BuOH-1	20.22	9	0.40	0.91	21.67
NaCl-NaCl-1,BuOH-BuOH-2	2.27	1	0.38	0.92	2.07
NaCl-NaCl-1,BuOH-BuOH-3	6.74	3	0.34	0.87	7.40
NaCl-NaCl-1,BuOH-BuOH-4	0.00	0	0.25	0.81	-0.31
NaCl-NaCl-1,BuOH-BuOH-5	4.17	2	0.44	0.96	3.87
NaCl-NaCl-2,BuOH-BuOH-1	27.03	10	0.36	0.95	28.10
NaCl-NaCl-2,BuOH-BuOH-2	0.00	0	0.39	0.98	-0.40
NaCl-NaCl-2,BuOH-BuOH-3	5.41	2	0.37	0.95	5.29
NaCl-NaCl-2,BuOH-BuOH-4	0.00	0	0.27	0.99	-0.28
NaCl-NaCl-2,BuOH-BuOH-5	0.00	0	0.43	0.98	-0.44
NaCl-NaCl-3,BuOH-BuOH-1	0.00	0	0.24	0.93	-0.26
NaCl-NaCl-3,BuOH-BuOH-2	0.00	0	0.32	1.13	-0.28
NaCl-NaCl-3,BuOH-BuOH-3	0.00	0	0.23	0.90	-0.25
NaCl-NaCl-3,BuOH-BuOH-4	0.00	0	0.15	0.90	-0.17
NaCl-NaCl-3,BuOH-BuOH-5	3.33	1	0.35	1.05	2.83
NaCl-NaCl-4,BuOH-BuOH-1	0.00	0	0.14	0.83	-0.17
NaCl-NaCl-4,BuOH-BuOH-2	0.00	0	0.20	0.97	-0.21
NaCl-NaCl-4,BuOH-BuOH-3	0.00	0	0.22	0.99	-0.22
NaCl-NaCl-4,BuOH-BuOH-4	0.00	0	0.12	0.94	-0.12
NaCl-NaCl-4,BuOH-BuOH-5	0.00	0	0.24	1.00	-0.24
NaCl-NaCl-5,BuOH-BuOH-1	0.00	0	0.15	0.83	-0.19
NaCl-NaCl-5,BuOH-BuOH-2	0.00	0	0.26	1.03	-0.26
NaCl-NaCl-5,BuOH-BuOH-3	0.00	0	0.24	0.98	-0.24
NaCl-NaCl-5,BuOH-BuOH-4	0.00	0	0.08	0.70	-0.11
NaCl-NaCl-5,BuOH-BuOH-5	0.00	0	0.31	1.07	-0.29
NaCl-NaCl-1,CPC-CPC-1	0.00	0	0.15	0.69	-0.21
NaCl-NaCl-1,CPC-CPC-2	9.30	4	0.46	1.03	8.56
NaCl-NaCl-1,CPC-CPC-3	9.41	4	0.41	0.98	9.20
NaCl-NaCl-1,CPC-CPC-4	2.35	1	0.44	1.01	1.90
NaCl-NaCl-1,CPC-CPC-5	6.98	3	0.50	1.05	6.15
NaCl-NaCl-2,CPC-CPC-1	0.00	0	0.16	0.81	-0.20
NaCl-NaCl-2,CPC-CPC-2	11.27	4	0.35	0.95	11.49
NaCl-NaCl-2,CPC-CPC-3	11.43	4	0.32	0.98	11.29
NaCl-NaCl-2,CPC-CPC-4	5.71	2	0.40	1.07	4.98
NaCl-NaCl-2,CPC-CPC-5	8.45	3	0.41	1.06	7.59
NaCl-NaCl-3,CPC-CPC-1	0.00	0	0.09	0.87	-0.11
NaCl-NaCl-3,CPC-CPC-2	0.00	0	0.34	1.14	-0.30
NaCl-NaCl-3,CPC-CPC-3	0.00	0	0.31	1.12	-0.28
NaCl-NaCl-3,CPC-CPC-4	0.00	0	0.23	0.96	-0.24
NaCl-NaCl-3,CPC-CPC-5	0.00	0	0.20	0.88	-0.22
NaCl-NaCl-4,CPC-CPC-1	0.00	0	0.09	0.99	-0.09
NaCl-NaCl-4,CPC-CPC-2	0.00	0	0.17	0.89	-0.18
NaCl-NaCl-4,CPC-CPC-3	0.00	0	0.16	0.89	-0.18
NaCl-NaCl-4,CPC-CPC-4	0.00	0	0.14	0.83	-0.17
NaCl-NaCl-4,CPC-CPC-5	0.00	0	0.07	0.61	-0.12
NaCl-NaCl-5,CPC-CPC-1	0.00	0	0.09	0.87	-0.10
NaCl-NaCl-5,CPC-CPC-2	0.00	0	0.26	1.04	-0.25
NaCl-NaCl-5,CPC-CPC-3	0.00	0	0.19	0.96	-0.20
NaCl-NaCl-5,CPC-CPC-4	0.00	0	0.12	0.76	-0.16
NaCl-NaCl-5,CPC-CPC-5	0.00	0	0.16	0.86	-0.19
KCl-KCl-1,CoCl2-CoCl2-1	5.88	3	0.39	0.86	6.39
KCl-KCl-1,CoCl2-CoCl2-2	0.00	0	0.19	0.70	-0.28
KCl-KCl-1,CoCl2-CoCl2-3	0.00	0	0.43	0.91	-0.47
KCl-KCl-1,CoCl2-CoCl2-4	2.08	1	0.38	0.91	1.87
KCl-KCl-1,CoCl2-CoCl2-5	0.00	0	0.41	0.93	-0.44
KCl-KCl-2,CoCl2-CoCl2-1	3.51	1	0.25	0.92	3.54
KCl-KCl-2,CoCl2-CoCl2-2	0.00	0	0.11	0.81	-0.14
KCl-KCl-2,CoCl2-CoCl2-3	0.00	0	0.18	0.85	-0.21
KCl-KCl-2,CoCl2-CoCl2-4	0.00	0	0.20	0.87	-0.23
KCl-KCl-2,CoCl2-CoCl2-5	0.00	0	0.12	0.69	-0.17
KCl-KCl-3,CoCl2-CoCl2-1	3.17	1	0.34	1.06	2.67
KCl-KCl-3,CoCl2-CoCl2-2	0.00	0	0.20	0.99	-0.20
KCl-KCl-3,CoCl2-CoCl2-3	0.00	0	0.30	1.04	-0.29
KCl-KCl-3,CoCl2-CoCl2-4	3.51	1	0.35	1.13	2.79
KCl-KCl-3,CoCl2-CoCl2-5	0.00	0	0.40	1.17	-0.34
KCl-KCl-4,CoCl2-CoCl2-1	0.00	0	0.30	0.99	-0.31
KCl-KCl-4,CoCl2-CoCl2-2	0.00	0	0.14	0.88	-0.16
KCl-KCl-4,CoCl2-CoCl2-3	3.77	1	0.29	1.08	3.22
KCl-KCl-4,CoCl2-CoCl2-4	0.00	0	0.28	0.98	-0.29
KCl-KCl-4,CoCl2-CoCl2-5	15.09	4	0.28	1.05	14.11
KCl-KCl-5,CoCl2-CoCl2-1	3.77	1	0.20	0.90	3.96
KCl-KCl-5,CoCl2-CoCl2-2	0.00	0	0.13	0.99	-0.13
KCl-KCl-5,CoCl2-CoCl2-3	4.35	1	0.15	0.82	5.10
KCl-KCl-5,CoCl2-CoCl2-4	4.26	1	0.22	0.96	4.23
KCl-KCl-5,CoCl2-CoCl2-5	0.00	0	0.13	0.73	-0.17
KCl-KCl-1,Na2CO3-Na2CO3-1	14.17	9	0.54	0.92	14.75
KCl-KCl-1,Na2CO3-Na2CO3-2	9.26	5	0.43	0.90	9.78
KCl-KCl-1,Na2CO3-Na2CO3-3	26.23	16	0.54	0.94	27.25
KCl-KCl-1,Na2CO3-Na2CO3-4	1.82	1	0.49	0.96	1.39
KCl-KCl-1,Na2CO3-Na2CO3-5	0.00	0	0.46	0.89	-0.52
KCl-KCl-2,Na2CO3-Na2CO3-1	0.00	0	0.30	0.86	-0.34
KCl-KCl-2,Na2CO3-Na2CO3-2	0.00	0	0.28	0.89	-0.31
KCl-KCl-2,Na2CO3-Na2CO3-3	0.00	0	0.23	0.80	-0.29
KCl-KCl-2,Na2CO3-Na2CO3-4	3.08	1	0.27	0.93	3.02
KCl-KCl-2,Na2CO3-Na2CO3-5	2.94	1	0.30	0.96	2.75
KCl-KCl-3,Na2CO3-Na2CO3-1	11.36	5	0.36	0.90	12.19
KCl-KCl-3,Na2CO3-Na2CO3-2	14.49	5	0.32	0.95	14.97
KCl-KCl-3,Na2CO3-Na2CO3-3	31.33	13	0.38	0.95	32.61
KCl-KCl-3,Na2CO3-Na2CO3-4	8.45	3	0.39	1.03	7.85
KCl-KCl-3,Na2CO3-Na2CO3-5	5.41	2	0.37	1.02	4.92
KCl-KCl-4,Na2CO3-Na2CO3-1	2.35	1	0.37	0.97	2.04
KCl-KCl-4,Na2CO3-Na2CO3-2	3.03	1	0.30	0.93	2.92
KCl-KCl-4,Na2CO3-Na2CO3-3	2.50	1	0.37	1.00	2.12
KCl-KCl-4,Na2CO3-Na2CO3-4	5.88	2	0.38	1.04	5.29
KCl-KCl-4,Na2CO3-Na2CO3-5	5.63	2	0.30	0.91	5.85
KCl-KCl-5,Na2CO3-Na2CO3-1	0.00	0	0.28	0.90	-0.32
KCl-KCl-5,Na2CO3-Na2CO3-2	0.00	0	0.20	0.87	-0.23
KCl-KCl-5,Na2CO3-Na2CO3-3	0.00	0	0.20	0.71	-0.28
KCl-KCl-5,Na2CO3-Na2CO3-4	0.00	0	0.27	0.93	-0.29
KCl-KCl-5,Na2CO3-Na2CO3-5	0.00	0	0.24	0.86	-0.28
KCl-KCl-1,Lac-Lac-1	0.00	0	0.11	0.54	-0.20
KCl-KCl-1,Lac-Lac-2	0.00	0	0.16	0.66	-0.25
KCl-KCl-1,Lac-Lac-3	2.53	1	0.21	0.73	3.18
KCl-KCl-1,Lac-Lac-4	0.00	0	0.26	0.82	-0.31
KCl-KCl-1,Lac-Lac-5	18.75	9	0.35	0.89	20.68
KCl-KCl-2,Lac-Lac-1	0.00	0	0.14	0.98	-0.14
KCl-KCl-2,Lac-Lac-2	0.00	0	0.20	1.16	-0.17
KCl-KCl-2,Lac-Lac-3	0.00	0	0.15	0.94	-0.16
KCl-KCl-2,Lac-Lac-4	0.00	0	0.21	1.21	-0.18
KCl-KCl-2,Lac-Lac-5	0.00	0	0.22	0.93	-0.23
KCl-KCl-3,Lac-Lac-1	0.00	0	0.18	1.05	-0.17
KCl-KCl-3,Lac-Lac-2	0.00	0	0.13	0.86	-0.15
KCl-KCl-3,Lac-Lac-3	5.00	1	0.21	1.06	4.50
KCl-KCl-3,Lac-Lac-4	0.00	0	0.14	0.83	-0.17
KCl-KCl-3,Lac-Lac-5	7.02	2	0.30	1.01	6.66
KCl-KCl-4,Lac-Lac-1	6.45	1	0.12	0.86	7.39
KCl-KCl-4,Lac-Lac-2	0.00	0	0.07	0.65	-0.11
KCl-KCl-4,Lac-Lac-3	5.41	1	0.19	1.01	5.17
KCl-KCl-4,Lac-Lac-4	0.00	0	0.17	0.95	-0.18
KCl-KCl-4,Lac-Lac-5	3.70	1	0.21	0.91	3.86
KCl-KCl-5,Lac-Lac-1	0.00	0	0.15	1.11	-0.14
KCl-KCl-5,Lac-Lac-2	0.00	0	0.15	1.20	-0.13
KCl-KCl-5,Lac-Lac-3	6.67	1	0.24	1.24	5.17
KCl-KCl-5,Lac-Lac-4	0.00	0	0.17	1.08	-0.16
KCl-KCl-5,Lac-Lac-5	0.00	0	0.26	1.09	-0.24
KCl-KCl-1,Mal-Mal-1	0.00	0	0.12	0.57	-0.20
KCl-KCl-1,Mal-Mal-2	0.00	0	0.05	0.39	-0.13
KCl-KCl-1,Mal-Mal-3	2.44	1	0.24	0.76	2.90
KCl-KCl-1,Mal-Mal-4	0.00	0	0.08	0.48	-0.16
KCl-KCl-1,Mal-Mal-5	0.00	0	0.13	0.58	-0.22
KCl-KCl-2,Mal-Mal-1	0.00	0	0.07	0.74	-0.10
KCl-KCl-2,Mal-Mal-2	0.00	0	0.06	0.76	-0.08
KCl-KCl-2,Mal-Mal-3	5.41	1	0.20	1.02	5.10
KCl-KCl-2,Mal-Mal-4	0.00	0	0.11	0.99	-0.11
KCl-KCl-2,Mal-Mal-5	0.00	0	0.07	0.78	-0.09
