Strain Combination	Observed Ratio (%)	Simulated Mean (%)	Simulated Std Dev (%)	D Value
NaCl-NaCl-5,MCL-MCL-5	0.0	0.4	1.3	-0.27
NaCl-NaCl-1,Cro-Cro-1	29.6	1.2	1.5	18.93
NaCl-NaCl-1,Cro-Cro-2	31.0	1.3	1.5	20.17
NaCl-NaCl-1,Cro-Cro-3	20.3	0.7	1.4	14.31
NaCl-NaCl-1,Cro-Cro-4	42.2	1.2	1.4	28.66
NaCl-NaCl-1,Cro-Cro-5	17.8	1.0	1.5	10.95
NaCl-NaCl-2,Cro-Cro-1	22.0	1.1	1.4	14.97
NaCl-NaCl-2,Cro-Cro-2	25.7	1.1	1.5	16.41
NaCl-NaCl-2,Cro-Cro-3	18.8	0.6	1.4	13.19
NaCl-NaCl-2,Cro-Cro-4	40.4	1.0	1.5	27.04
NaCl-NaCl-2,Cro-Cro-5	16.0	0.8	1.4	10.83
NaCl-NaCl-3,Cro-Cro-1	27.8	0.7	1.3	20.46
NaCl-NaCl-3,Cro-Cro-2	27.5	0.7	1.3	20.71
NaCl-NaCl-3,Cro-Cro-3	27.9	0.5	1.5	18.04
NaCl-NaCl-3,Cro-Cro-4	30.1	0.6	1.3	23.13
NaCl-NaCl-3,Cro-Cro-5	25.9	0.6	1.5	17.24
NaCl-NaCl-4,Cro-Cro-1	17.4	0.4	1.1	15.88
NaCl-NaCl-4,Cro-Cro-2	17.1	0.4	1.1	15.69
NaCl-NaCl-4,Cro-Cro-3	36.4	0.4	1.5	23.32
NaCl-NaCl-4,Cro-Cro-4	25.4	0.4	1.1	21.92
NaCl-NaCl-4,Cro-Cro-5	27.3	0.3	1.2	22.85
NaCl-NaCl-5,Cro-Cro-1	16.2	0.5	1.1	14.51
NaCl-NaCl-5,Cro-Cro-2	16.0	0.5	1.2	13.24
NaCl-NaCl-5,Cro-Cro-3	31.6	0.4	1.4	22.31
NaCl-NaCl-5,Cro-Cro-4	17.6	0.5	1.2	14.32
NaCl-NaCl-5,Cro-Cro-5	24.5	0.5	1.4	17.57
NaCl-NaCl-1,MG-MG-1	38.9	1.2	1.5	25.65
NaCl-NaCl-1,MG-MG-2	45.2	1.0	1.5	30.07
NaCl-NaCl-1,MG-MG-3	36.6	1.0	1.5	24.13
NaCl-NaCl-1,MG-MG-4	26.5	1.1	1.5	16.68
NaCl-NaCl-1,MG-MG-5	42.7	0.9	1.4	29.12
NaCl-NaCl-2,MG-MG-1	49.5	1.0	1.4	34.98
NaCl-NaCl-2,MG-MG-2	53.8	0.8	1.5	35.52
NaCl-NaCl-2,MG-MG-3	48.7	0.9	1.5	31.27
NaCl-NaCl-2,MG-MG-4	31.3	0.9	1.4	21.27
NaCl-NaCl-2,MG-MG-5	59.5	0.8	1.5	38.20
NaCl-NaCl-3,MG-MG-1	2.8	0.7	1.4	1.55
NaCl-NaCl-3,MG-MG-2	3.5	0.6	1.4	2.08
NaCl-NaCl-3,MG-MG-3	3.5	0.6	1.4	2.15
NaCl-NaCl-3,MG-MG-4	6.5	0.5	1.3	4.63
NaCl-NaCl-3,MG-MG-5	3.8	0.6	1.4	2.30
NaCl-NaCl-4,MG-MG-1	0.0	0.4	1.1	-0.34
NaCl-NaCl-4,MG-MG-2	0.0	0.4	1.3	-0.29
NaCl-NaCl-4,MG-MG-3	0.0	0.3	1.2	-0.29
NaCl-NaCl-4,MG-MG-4	0.0	0.4	1.3	-0.32
NaCl-NaCl-4,MG-MG-5	0.0	0.3	1.2	-0.25
NaCl-NaCl-5,MG-MG-1	0.0	0.5	1.3	-0.44
NaCl-NaCl-5,MG-MG-2	0.0	0.5	1.3	-0.35
NaCl-NaCl-5,MG-MG-3	0.0	0.4	1.2	-0.31
NaCl-NaCl-5,MG-MG-4	0.0	0.5	1.3	-0.39
NaCl-NaCl-5,MG-MG-5	0.0	0.4	1.3	-0.32
NaCl-NaCl-1,BuOH-BuOH-1	24.7	0.9	1.4	16.58
NaCl-NaCl-1,BuOH-BuOH-2	6.8	0.8	1.3	4.48
NaCl-NaCl-1,BuOH-BuOH-3	13.5	1.0	1.5	8.43
NaCl-NaCl-1,BuOH-BuOH-4	5.6	0.6	1.2	4.02
NaCl-NaCl-1,BuOH-BuOH-5	6.2	1.1	1.5	3.39
NaCl-NaCl-2,BuOH-BuOH-1	27.0	0.8	1.5	17.89
NaCl-NaCl-2,BuOH-BuOH-2	0.0	0.8	1.5	-0.55
NaCl-NaCl-2,BuOH-BuOH-3	8.1	0.9	1.5	4.74
NaCl-NaCl-2,BuOH-BuOH-4	0.0	0.5	1.3	-0.38
NaCl-NaCl-2,BuOH-BuOH-5	0.0	0.9	1.5	-0.63
NaCl-NaCl-3,BuOH-BuOH-1	0.0	0.5	1.4	-0.38
NaCl-NaCl-3,BuOH-BuOH-2	0.0	0.5	1.4	-0.38
NaCl-NaCl-3,BuOH-BuOH-3	0.0	0.5	1.4	-0.36
NaCl-NaCl-3,BuOH-BuOH-4	0.0	0.4	1.5	-0.29
NaCl-NaCl-3,BuOH-BuOH-5	3.3	0.6	1.5	1.86
NaCl-NaCl-4,BuOH-BuOH-1	0.0	0.4	1.3	-0.28
NaCl-NaCl-4,BuOH-BuOH-2	0.0	0.3	1.2	-0.26
NaCl-NaCl-4,BuOH-BuOH-3	0.0	0.3	1.3	-0.27
NaCl-NaCl-4,BuOH-BuOH-4	0.0	0.3	1.5	-0.20
NaCl-NaCl-4,BuOH-BuOH-5	0.0	0.4	1.2	-0.32
NaCl-NaCl-5,BuOH-BuOH-1	0.0	0.5	1.4	-0.34
NaCl-NaCl-5,BuOH-BuOH-2	0.0	0.5	1.4	-0.33
NaCl-NaCl-5,BuOH-BuOH-3	0.0	0.4	1.2	-0.30
NaCl-NaCl-5,BuOH-BuOH-4	0.0	0.3	1.4	-0.22
NaCl-NaCl-5,BuOH-BuOH-5	0.0	0.4	1.2	-0.36
NaCl-NaCl-1,CPC-CPC-1	0.0	0.3	1.0	-0.32
NaCl-NaCl-1,CPC-CPC-2	16.3	0.9	1.4	11.06
NaCl-NaCl-1,CPC-CPC-3	9.4	0.8	1.4	6.25
NaCl-NaCl-1,CPC-CPC-4	14.1	0.8	1.4	9.63
NaCl-NaCl-1,CPC-CPC-5	16.3	0.9	1.4	11.11
NaCl-NaCl-2,CPC-CPC-1	0.0	0.3	1.1	-0.26
NaCl-NaCl-2,CPC-CPC-2	14.1	0.8	1.4	9.25
NaCl-NaCl-2,CPC-CPC-3	14.3	0.7	1.5	9.14
NaCl-NaCl-2,CPC-CPC-4	8.6	0.8	1.5	5.21
NaCl-NaCl-2,CPC-CPC-5	11.3	0.8	1.5	6.92
NaCl-NaCl-3,CPC-CPC-1	0.0	0.3	1.3	-0.20
NaCl-NaCl-3,CPC-CPC-2	4.0	0.5	1.5	2.38
NaCl-NaCl-3,CPC-CPC-3	0.0	0.5	1.4	-0.36
NaCl-NaCl-3,CPC-CPC-4	12.2	0.6	1.5	7.69
NaCl-NaCl-3,CPC-CPC-5	12.0	0.6	1.5	7.53
NaCl-NaCl-4,CPC-CPC-1	0.0	0.2	1.6	-0.15
NaCl-NaCl-4,CPC-CPC-2	0.0	0.3	1.3	-0.26
NaCl-NaCl-4,CPC-CPC-3	0.0	0.3	1.2	-0.23
NaCl-NaCl-4,CPC-CPC-4	0.0	0.3	1.2	-0.24
NaCl-NaCl-4,CPC-CPC-5	0.0	0.3	1.2	-0.26
