1)riId,2)riType,3)regulatorId,4)regulatorName,17)firstGene,19)targetTuOrGene,20)confidenceLevel
RDBECOLIRIC03928,tf-promoter,RDBECOLITFC00014,Lrp,dadA,RDBECOLITUC03604:dadAX,C
RDBECOLIRIC03929,tf-promoter,RDBECOLITFC00014,Lrp,dadA,RDBECOLITUC03604:dadAX,C
RDBECOLIRIC03930,tf-promoter,RDBECOLITFC00014,Lrp,dadA,RDBECOLITUC03604:dadAX,C
RDBECOLIRIC03931,tf-promoter,RDBECOLITFC00014,Lrp,dadA,RDBECOLITUC03604:dadAX,C
RDBECOLIRIC03932,tf-promoter,RDBECOLITFC00189,CRP,dadA,RDBECOLITUC03605:dadAX,S
RDBECOLIRIC03933,tf-promoter,RDBECOLITFC00189,CRP,dadA,RDBECOLITUC03605:dadAX,S
RDBECOLIRIC03934,tf-promoter,RDBECOLITFC00014,Lrp,dadA,RDBECOLITUC03605:dadAX,C
RDBECOLIRIC03935,tf-promoter,RDBECOLITFC00014,Lrp,dadA,RDBECOLITUC03605:dadAX,C
RDBECOLIRIC03936,tf-promoter,RDBECOLITFC00014,Lrp,dadA,RDBECOLITUC03605:dadAX,C
RDBECOLIRIC03937,tf-promoter,RDBECOLITFC00014,Lrp,dadA,RDBECOLITUC03605:dadAX,C
RDBECOLIRIC03938,tf-promoter,RDBECOLITFC00014,Lrp,dadA,RDBECOLITUC03605:dadAX,C
RDBECOLIRIC03939,tf-promoter,RDBECOLITFC00128,FNR,garP,RDBECOLITUC03606:garPLRK-rnpB,W
RDBECOLIRIC03940,tf-promoter,RDBECOLITFC00133,CdaR,garP,RDBECOLITUC03606:garPLRK-rnpB,W
RDBECOLIRIC03941,tf-promoter,RDBECOLITFC00053,Fis,hupA,RDBECOLITUC03609:hupA,S
RDBECOLIRIC03942,tf-promoter,RDBECOLITFC00053,Fis,hupA,RDBECOLITUC03609:hupA,S
RDBECOLIRIC03943,tf-promoter,RDBECOLITFC00053,Fis,hupA,RDBECOLITUC03609:hupA,S
RDBECOLIRIC03944,tf-promoter,RDBECOLITFC00053,Fis,hupA,RDBECOLITUC03609:hupA,S
RDBECOLIRIC03945,tf-promoter,RDBECOLITFC00189,CRP,hupA,RDBECOLITUC03609:hupA,S
RDBECOLIRIC03946,tf-promoter,RDBECOLITFC00166,PhoP,phoP,RDBECOLITUC03650:phoPQ,S
RDBECOLIRIC03947,tf-promoter,RDBECOLITFC00189,CRP,xylA,RDBECOLITUC03651:xylAB,W
RDBECOLIRIC03948,tf-promoter,RDBECOLITFC00090,XylR,xylA,RDBECOLITUC03651:xylAB,S
RDBECOLIRIC03949,tf-promoter,RDBECOLITFC00090,XylR,xylA,RDBECOLITUC03651:xylAB,S
RDBECOLIRIC03950,tf-promoter,RDBECOLITFC00170,CpxR,rseD,RDBECOLITUC03570:rseD-rpoE-rseABC,S
RDBECOLIRIC03951,tf-promoter,RDBECOLITFC00098,ArcA,xylR,RDBECOLITUC03657:xylR,W
RDBECOLIRIC03952,tf-promoter,RDBECOLITFC00189,CRP,xylF,RDBECOLITUC03398:xylFGHR,W
RDBECOLIRIC03953,tf-promoter,RDBECOLITFC00090,XylR,xylF,RDBECOLITUC03398:xylFGHR,S
RDBECOLIRIC03954,tf-promoter,RDBECOLITFC00090,XylR,xylF,RDBECOLITUC03398:xylFGHR,S
RDBECOLIRIC03955,tf-promoter,RDBECOLITFC00053,Fis,xylF,RDBECOLITUC03398:xylFGHR,W
RDBECOLIRIC03956,tf-promoter,RDBECOLITFC00128,FNR,rplM,RDBECOLITUC03363:rplM-rpsI,W
RDBECOLIRIC03957,tf-promoter,RDBECOLITFC00189,CRP,nmpC,RDBECOLITUC03585:nmpC,S
RDBECOLIRIC03958,tf-promoter,RDBECOLITFC00189,CRP,nmpC,RDBECOLITUC03585:nmpC,S
RDBECOLIRIC03959,tf-promoter,RDBECOLITFC00040,OmpR,nmpC,RDBECOLITUC03585:nmpC,C
RDBECOLIRIC03960,tf-promoter,RDBECOLITFC00211,IHF,nmpC,RDBECOLITUC03585:nmpC,S
RDBECOLIRIC03961,tf-promoter,RDBECOLITFC00128,FNR,cydA,RDBECOLITUC03586:cydAB,C
RDBECOLIRIC03962,tf-promoter,RDBECOLITFC00098,ArcA,cydA,RDBECOLITUC03586:cydAB,S
RDBECOLIRIC03963,tf-promoter,RDBECOLITFC00020,H-NS,cydA,RDBECOLITUC03586:cydAB,S
RDBECOLIRIC03964,tf-promoter,RDBECOLITFC00128,FNR,cydA,RDBECOLITUC03586:cydAB,C
RDBECOLIRIC03965,tf-promoter,RDBECOLITFC00052,FlhDC,napF,RDBECOLITUC03590:napFDAGHBC-ccmABCDEFGH,W
RDBECOLIRIC03966,tf-promoter,RDBECOLITFC00034,ModE,napF,RDBECOLITUC03590:napFDAGHBC-ccmABCDEFGH,C
RDBECOLIRIC03967,tf-promoter,RDBECOLITFC00085,NarP,napF,RDBECOLITUC03590:napFDAGHBC-ccmABCDEFGH,S
RDBECOLIRIC03968,tf-promoter,RDBECOLITFC00009,NarL,napF,RDBECOLITUC03590:napFDAGHBC-ccmABCDEFGH,S
RDBECOLIRIC03969,tf-promoter,RDBECOLITFC00009,NarL,napF,RDBECOLITUC03590:napFDAGHBC-ccmABCDEFGH,S
RDBECOLIRIC03970,tf-promoter,RDBECOLITFC00085,NarP,napF,RDBECOLITUC03590:napFDAGHBC-ccmABCDEFGH,S
RDBECOLIRIC03971,tf-promoter,RDBECOLITFC00214,LexA,phr,RDBECOLITUC03591:phr,W
RDBECOLIRIC03972,tf-promoter,RDBECOLITFC00214,LexA,phr,RDBECOLITUC03591:phr,W
RDBECOLIRIC03973,tf-gene,RDBECOLITFC00153,NtrC,nac,RDBECOLIGNC03916:nac,S
RDBECOLIRIC03974,tf-promoter,RDBECOLITFC00135,Nac,nac,RDBECOLITUC03648:nac,C
RDBECOLIRIC03975,tf-promoter,RDBECOLITFC00009,NarL,hybO,RDBECOLITUC03322:hybOABCDEFG,W
RDBECOLIRIC03976,tf-promoter,RDBECOLITFC00009,NarL,hybO,RDBECOLITUC03322:hybOABCDEFG,W
RDBECOLIRIC03977,tf-promoter,RDBECOLITFC00009,NarL,hybO,RDBECOLITUC03322:hybOABCDEFG,W
RDBECOLIRIC03978,tf-promoter,RDBECOLITFC00098,ArcA,hybO,RDBECOLITUC03322:hybOABCDEFG,W
RDBECOLIRIC03979,tf-promoter,RDBECOLITFC00187,GadX,lon,RDBECOLITUC02343:lon,W
RDBECOLIRIC03980,tf-promoter,RDBECOLITFC00053,Fis,rrsB,RDBECOLITUC03840:rrsB-gltT-rrlB-rrfB,S
RDBECOLIRIC03981,tf-promoter,RDBECOLITFC00053,Fis,rrsB,RDBECOLITUC03840:rrsB-gltT-rrlB-rrfB,S
RDBECOLIRIC03982,tf-promoter,RDBECOLITFC00053,Fis,rrsB,RDBECOLITUC03840:rrsB-gltT-rrlB-rrfB,S
RDBECOLIRIC03983,tf-promoter,RDBECOLITFC00014,Lrp,rrsB,RDBECOLITUC03840:rrsB-gltT-rrlB-rrfB,S
RDBECOLIRIC03984,tf-promoter,RDBECOLITFC00020,H-NS,rrsB,RDBECOLITUC03840:rrsB-gltT-rrlB-rrfB,S
RDBECOLIRIC03985,tf-promoter,RDBECOLITFC00020,H-NS,rrsB,RDBECOLITUC03840:rrsB-gltT-rrlB-rrfB,S
RDBECOLIRIC03986,tf-promoter,RDBECOLITFC00020,H-NS,rrsB,RDBECOLITUC03840:rrsB-gltT-rrlB-rrfB,S
RDBECOLIRIC03987,tf-promoter,RDBECOLITFC00053,Fis,topA,RDBECOLITUC01836:topA,C
RDBECOLIRIC03988,tf-promoter,RDBECOLITFC00053,Fis,topA,RDBECOLITUC01836:topA,C
RDBECOLIRIC03989,tf-promoter,RDBECOLITFC00053,Fis,topA,RDBECOLITUC01836:topA,C
RDBECOLIRIC03990,tf-promoter,RDBECOLITFC00053,Fis,topA,RDBECOLITUC01836:topA,C
RDBECOLIRIC03991,tf-promoter,RDBECOLITFC00053,Fis,topA,RDBECOLITUC01836:topA,S
RDBECOLIRIC03992,tf-promoter,RDBECOLITFC00053,Fis,topA,RDBECOLITUC01836:topA,C
RDBECOLIRIC03993,tf-promoter,RDBECOLITFC00053,Fis,topA,RDBECOLITUC01836:topA,C
RDBECOLIRIC03994,tf-promoter,RDBECOLITFC00053,Fis,topA,RDBECOLITUC01836:topA,S
RDBECOLIRIC03995,tf-promoter,RDBECOLITFC00053,Fis,topA,RDBECOLITUC01836:topA,S
RDBECOLIRIC03996,tf-promoter,RDBECOLITFC00053,Fis,topA,RDBECOLITUC01836:topA,S
RDBECOLIRIC03997,tf-promoter,RDBECOLITFC00053,Fis,topA,RDBECOLITUC01836:topA,S
RDBECOLIRIC03998,tf-promoter,RDBECOLITFC00116,BolA,ampC,RDBECOLITUC03563:ampC,W
RDBECOLIRIC03999,tf-promoter,RDBECOLITFC00166,PhoP,phoP,RDBECOLITUC03347:phoPQ,S
RDBECOLIRIC04000,tf-promoter,RDBECOLITFC00020,H-NS,cmoM,RDBECOLITUC03565:smtA-mukFEB,W
RDBECOLIRIC04001,tf-promoter,RDBECOLITFC00128,FNR,hypB,RDBECOLITUC02636:hypBCDE-fhlA,S
RDBECOLIRIC04002,tf-promoter,RDBECOLITFC00128,FNR,hypB,RDBECOLITUC02636:hypBCDE-fhlA,S
RDBECOLIRIC04003,tf-promoter,RDBECOLITFC00189,CRP,grpE,RDBECOLITUC03434:grpE,W
RDBECOLIRIC04004,tf-promoter,RDBECOLITFC00211,IHF,paaA,RDBECOLITUC03642:paaABCDEFGHIJK,C
RDBECOLIRIC04005,tf-promoter,RDBECOLITFC00189,CRP,paaA,RDBECOLITUC03642:paaABCDEFGHIJK,C
RDBECOLIRIC04006,tf-promoter,RDBECOLITFC00113,PaaX,paaA,RDBECOLITUC03642:paaABCDEFGHIJK,C
RDBECOLIRIC04007,tf-promoter,RDBECOLITFC00074,MarA,putA,RDBECOLITUC03584:putA,W
RDBECOLIRIC04008,tf-promoter,RDBECOLITFC00195,PutA,putA,RDBECOLITUC03584:putA,C
RDBECOLIRIC04009,tf-promoter,RDBECOLITFC00020,H-NS,fimB,RDBECOLITUC03432:fimB,S
RDBECOLIRIC04010,tf-promoter,RDBECOLITFC00211,IHF,paaZ,RDBECOLITUC03615:paaZ,C
RDBECOLIRIC04011,tf-promoter,RDBECOLITFC00189,CRP,paaZ,RDBECOLITUC03615:paaZ,C
RDBECOLIRIC04012,tf-promoter,RDBECOLITFC00113,PaaX,paaZ,RDBECOLITUC03615:paaZ,C
RDBECOLIRIC04013,tf-promoter,RDBECOLITFC00069,XapR,xapA,RDBECOLITUC03571:xapAB,W
RDBECOLIRIC04014,tf-promoter,RDBECOLITFC00069,XapR,xapA,RDBECOLITUC03571:xapAB,W
RDBECOLIRIC04015,tf-promoter,RDBECOLITFC00070,Cbl,tauA,RDBECOLITUC03572:tauABCD,S
RDBECOLIRIC04016,tf-promoter,RDBECOLITFC00152,CysB,tauA,RDBECOLITUC03572:tauABCD,S
RDBECOLIRIC04017,tf-promoter,RDBECOLITFC00152,CysB,tauA,RDBECOLITUC03572:tauABCD,S
RDBECOLIRIC04018,tf-promoter,RDBECOLITFC00152,CysB,tauA,RDBECOLITUC03572:tauABCD,S
RDBECOLIRIC04019,tf-promoter,RDBECOLITFC00211,IHF,ompR,RDBECOLITUC03554:ompR-envZ,C
RDBECOLIRIC04020,tf-promoter,RDBECOLITFC00211,IHF,ompR,RDBECOLITUC03554:ompR-envZ,C
RDBECOLIRIC04021,tf-promoter,RDBECOLITFC00211,IHF,ompR,RDBECOLITUC03554:ompR-envZ,C
RDBECOLIRIC04022,tf-promoter,RDBECOLITFC00189,CRP,ompR,RDBECOLITUC03554:ompR-envZ,C
RDBECOLIRIC04023,tf-promoter,RDBECOLITFC00189,CRP,ompR,RDBECOLITUC03555:ompR-envZ,C
RDBECOLIRIC04024,tf-promoter,RDBECOLITFC00189,CRP,ompR,RDBECOLITUC03556:ompR-envZ,C
RDBECOLIRIC04025,tf-promoter,RDBECOLITFC00041,ChbR,chbB,RDBECOLITUC03282:chbBCARFG,S
RDBECOLIRIC04026,tf-promoter,RDBECOLITFC00041,ChbR,chbB,RDBECOLITUC03282:chbBCARFG,S
RDBECOLIRIC04027,tf-promoter,RDBECOLITFC00189,CRP,chbB,RDBECOLITUC03282:chbBCARFG,S
RDBECOLIRIC04028,tf-promoter,RDBECOLITFC00027,NagC,chbB,RDBECOLITUC03282:chbBCARFG,C
RDBECOLIRIC04029,tf-promoter,RDBECOLITFC00027,NagC,chbB,RDBECOLITUC03282:chbBCARFG,S
RDBECOLIRIC04030,tf-promoter,RDBECOLITFC00189,CRP,modA,RDBECOLITUC03331:modABC,W
RDBECOLIRIC04031,tf-promoter,RDBECOLITFC00034,ModE,modA,RDBECOLITUC03331:modABC,C
RDBECOLIRIC04032,tf-promoter,RDBECOLITFC00037,LldR,lldP,RDBECOLITUC03557:lldPRD,C
RDBECOLIRIC04033,tf-promoter,RDBECOLITFC00098,ArcA,lldP,RDBECOLITUC03557:lldPRD,C
RDBECOLIRIC04034,tf-promoter,RDBECOLITFC00020,H-NS,fimA,RDBECOLITUC03558:fimAICDFGH,S
RDBECOLIRIC04035,tf-promoter,RDBECOLITFC00211,IHF,fimA,RDBECOLITUC03558:fimAICDFGH,W
RDBECOLIRIC04036,tf-promoter,RDBECOLITFC00014,Lrp,fimA,RDBECOLITUC03558:fimAICDFGH,C
RDBECOLIRIC04037,tf-promoter,RDBECOLITFC00014,Lrp,fimA,RDBECOLITUC03558:fimAICDFGH,C
RDBECOLIRIC04038,tf-promoter,RDBECOLITFC00014,Lrp,fimA,RDBECOLITUC03558:fimAICDFGH,C
RDBECOLIRIC04039,tf-promoter,RDBECOLITFC00211,IHF,fimA,RDBECOLITUC03558:fimAICDFGH,W
RDBECOLIRIC04040,tf-promoter,RDBECOLITFC00190,LrhA,fimE,RDBECOLITUC03559:fimE,S
RDBECOLIRIC04041,tf-promoter,RDBECOLITFC00014,Lrp,fimE,RDBECOLITUC03559:fimE,W
RDBECOLIRIC04042,tf-promoter,RDBECOLITFC00020,H-NS,fimE,RDBECOLITUC03559:fimE,S
RDBECOLIRIC04043,tf-promoter,RDBECOLITFC00189,CRP,pdhR,RDBECOLITUC03540:pdhR-aceEF-lpdA,W
RDBECOLIRIC04044,tf-promoter,RDBECOLITFC00189,CRP,pdhR,RDBECOLITUC03540:pdhR-aceEF-lpdA,W
RDBECOLIRIC04045,tf-promoter,RDBECOLITFC00189,CRP,pdhR,RDBECOLITUC03540:pdhR-aceEF-lpdA,W
RDBECOLIRIC04046,tf-promoter,RDBECOLITFC00189,CRP,pdhR,RDBECOLITUC03540:pdhR-aceEF-lpdA,W
RDBECOLIRIC04047,tf-promoter,RDBECOLITFC00189,CRP,pdhR,RDBECOLITUC03540:pdhR-aceEF-lpdA,W
RDBECOLIRIC04048,tf-promoter,RDBECOLITFC00189,CRP,pdhR,RDBECOLITUC03540:pdhR-aceEF-lpdA,W
RDBECOLIRIC04049,tf-promoter,RDBECOLITFC00128,FNR,pdhR,RDBECOLITUC03540:pdhR-aceEF-lpdA,S
RDBECOLIRIC04050,tf-promoter,RDBECOLITFC00158,PdhR,pdhR,RDBECOLITUC03540:pdhR-aceEF-lpdA,C
RDBECOLIRIC04051,tf-promoter,RDBECOLITFC00020,H-NS,csiE,RDBECOLITUC01936:csiE,W
RDBECOLIRIC04052,tf-promoter,RDBECOLITFC00189,CRP,csiE,RDBECOLITUC01936:csiE,W
RDBECOLIRIC04053,tf-promoter,RDBECOLITFC00074,MarA,pqiA,RDBECOLITUC03630:pqiABC,S
RDBECOLIRIC04054,tf-promoter,RDBECOLITFC00201,SoxS,pqiA,RDBECOLITUC03630:pqiABC,C
RDBECOLIRIC04055,tf-promoter,RDBECOLITFC00211,IHF,rtcB,RDBECOLITUC03645:rtcBA,W
RDBECOLIRIC04056,tf-promoter,RDBECOLITFC00211,IHF,rtcB,RDBECOLITUC03645:rtcBA,W
RDBECOLIRIC04057,tf-promoter,RDBECOLITFC00097,RtcR,rtcB,RDBECOLITUC03645:rtcBA,W
RDBECOLIRIC04058,tf-promoter,RDBECOLITFC00098,ArcA,tpx,RDBECOLITUC03628:tpx,W
RDBECOLIRIC04059,tf-promoter,RDBECOLITFC00128,FNR,tpx,RDBECOLITUC03628:tpx,W
RDBECOLIRIC04060,tf-promoter,RDBECOLITFC00164,ArsR,arsR,RDBECOLITUC03273:arsRBC,S
RDBECOLIRIC04061,tf-promoter,RDBECOLITFC00128,FNR,caiF,RDBECOLITUC03552:caiF,S
RDBECOLIRIC04062,tf-promoter,RDBECOLITFC00189,CRP,caiF,RDBECOLITUC03552:caiF,W
