Strain Combination	Observed Ratio (%)	Simulated Mean (%)	Simulated Std Dev (%)
Ara+2, Ara+3, Ara-1, Ara-3	50.89	22.74	0.66
Ara+2, Ara+3, Ara-1, Ara-4	52.51	21.60	0.66
Ara+2, Ara+3, Ara-1, Ara-5	52.10	21.71	0.67
Ara+2, Ara+3, Ara-1, Ara-6	52.07	22.11	0.66
Ara+2, Ara+3, Ara-2, Ara-3	54.45	22.95	0.65
Ara+2, Ara+3, Ara-2, Ara-4	53.44	21.80	0.65
Ara+2, Ara+3, Ara-2, Ara-5	52.84	21.94	0.67
Ara+2, Ara+3, Ara-2, Ara-6	54.34	22.34	0.66
Ara+2, Ara+3, Ara-3, Ara-4	54.01	21.94	0.64
Ara+2, Ara+3, Ara-3, Ara-5	52.81	22.06	0.66
Ara+2, Ara+3, Ara-3, Ara-6	54.31	22.50	0.64
Ara+2, Ara+3, Ara-4, Ara-5	52.22	21.01	0.67
Ara+2, Ara+3, Ara-4, Ara-6	53.55	21.36	0.65
Ara+2, Ara+3, Ara-5, Ara-6	53.71	21.49	0.65
Ara+2, Ara+4, Ara+5, Ara-1	53.52	21.53	0.66
Ara+2, Ara+4, Ara+5, Ara-2	56.00	21.79	0.63
Ara+2, Ara+4, Ara+5, Ara-3	56.41	21.93	0.65
Ara+2, Ara+4, Ara+5, Ara-4	55.15	20.80	0.63
Ara+2, Ara+4, Ara+5, Ara-5	55.72	20.95	0.67
Ara+2, Ara+4, Ara+5, Ara-6	58.00	21.32	0.68
Ara+2, Ara+4, Ara-1, Ara-2	51.51	21.94	0.64
Ara+2, Ara+4, Ara-1, Ara-3	50.95	22.12	0.67
Ara+2, Ara+4, Ara-1, Ara-4	52.74	21.02	0.67
Ara+2, Ara+4, Ara-1, Ara-5	53.17	21.16	0.65
Ara+2, Ara+4, Ara-1, Ara-6	53.13	21.57	0.66
Ara+2, Ara+4, Ara-2, Ara-3	53.69	22.33	0.67
Ara+2, Ara+4, Ara-2, Ara-4	52.80	21.22	0.63
Ara+2, Ara+4, Ara-2, Ara-5	52.69	21.35	0.68
Ara+2, Ara+4, Ara-2, Ara-6	53.72	21.75	0.66
Ara+2, Ara+4, Ara-3, Ara-4	53.88	21.40	0.67
Ara+2, Ara+4, Ara-3, Ara-5	53.42	21.54	0.67
Ara+2, Ara+4, Ara-3, Ara-6	54.59	21.90	0.66
Ara+2, Ara+4, Ara-4, Ara-5	52.80	20.46	0.66
Ara+2, Ara+4, Ara-4, Ara-6	53.99	20.83	0.64
Ara+2, Ara+4, Ara-5, Ara-6	54.83	20.95	0.68
Ara+2, Ara+5, Ara-1, Ara-2	50.72	21.95	0.66
Ara+2, Ara+5, Ara-1, Ara-3	50.17	22.11	0.67
Ara+2, Ara+5, Ara-1, Ara-4	51.75	21.02	0.67
