Strain Combination	Observed Ratio (%)	Simulated Mean (%)	Simulated Std Dev (%)
Ara+1, Ara+2, Ara+3, Ara-3	11.62	0.10	0.11
Ara+1, Ara+2, Ara+3, Ara-4	16.78	0.08	0.09
Ara+1, Ara+2, Ara+3, Ara-5	16.85	0.08	0.10
Ara+1, Ara+2, Ara+3, Ara-6	9.61	0.06	0.09
Ara+1, Ara+2, Ara+4, Ara+5	12.00	0.07	0.10
Ara+1, Ara+2, Ara+4, Ara-1	12.63	0.07	0.09
Ara+1, Ara+2, Ara+4, Ara-2	10.32	0.09	0.10
Ara+1, Ara+2, Ara+4, Ara-3	9.02	0.07	0.10
Ara+1, Ara+2, Ara+4, Ara-4	14.10	0.06	0.09
Ara+1, Ara+2, Ara+4, Ara-5	12.23	0.07	0.10
Ara+1, Ara+2, Ara+4, Ara-6	9.91	0.04	0.08
Ara+1, Ara+2, Ara+5, Ara-1	13.80	0.09	0.11
Ara+1, Ara+2, Ara+5, Ara-2	11.08	0.11	0.11
Ara+1, Ara+2, Ara+5, Ara-3	10.64	0.10	0.11
Ara+1, Ara+2, Ara+5, Ara-4	15.11	0.07	0.10
Ara+1, Ara+2, Ara+5, Ara-5	16.15	0.09	0.11
Ara+1, Ara+2, Ara+5, Ara-6	8.47	0.06	0.09
Ara+1, Ara+2, Ara-1, Ara-2	14.63	0.11	0.11
Ara+1, Ara+2, Ara-1, Ara-3	10.96	0.09	0.11
Ara+1, Ara+2, Ara-1, Ara-4	17.65	0.07	0.10
Ara+1, Ara+2, Ara-1, Ara-5	16.79	0.08	0.10
Ara+1, Ara+2, Ara-1, Ara-6	10.24	0.06	0.09
Ara+1, Ara+2, Ara-2, Ara-3	9.19	0.12	0.11
Ara+1, Ara+2, Ara-2, Ara-4	16.14	0.09	0.10
Ara+1, Ara+2, Ara-2, Ara-5	13.51	0.10	0.11
Ara+1, Ara+2, Ara-2, Ara-6	8.93	0.07	0.09
Ara+1, Ara+2, Ara-3, Ara-4	11.02	0.07	0.10
Ara+1, Ara+2, Ara-3, Ara-5	11.07	0.09	0.11
Ara+1, Ara+2, Ara-3, Ara-6	7.33	0.06	0.09
Ara+1, Ara+2, Ara-4, Ara-5	17.65	0.06	0.10
Ara+1, Ara+2, Ara-4, Ara-6	10.71	0.04	0.08
Ara+1, Ara+2, Ara-5, Ara-6	9.04	0.05	0.08
Ara+1, Ara+3, Ara+4, Ara+5	9.59	0.06	0.09
Ara+1, Ara+3, Ara+4, Ara-1	13.15	0.07	0.10
Ara+1, Ara+3, Ara+4, Ara-2	9.33	0.09	0.10
Ara+1, Ara+3, Ara+4, Ara-3	8.62	0.08	0.10
Ara+1, Ara+3, Ara+4, Ara-4	13.07	0.06	0.09
Ara+1, Ara+3, Ara+4, Ara-5	11.53	0.06	0.09
Ara+1, Ara+3, Ara+4, Ara-6	9.29	0.04	0.08
Ara+1, Ara+3, Ara+5, Ara-1	10.53	0.09	0.10
Ara+1, Ara+3, Ara+5, Ara-2	8.53	0.11	0.12
Ara+1, Ara+3, Ara+5, Ara-3	9.04	0.10	0.11
Ara+1, Ara+3, Ara+5, Ara-4	10.95	0.07	0.10
Ara+1, Ara+3, Ara+5, Ara-5	12.80	0.08	0.10
Ara+1, Ara+3, Ara+5, Ara-6	7.61	0.05	0.09
Ara+1, Ara+3, Ara-1, Ara-2	13.34	0.11	0.12
Ara+1, Ara+3, Ara-1, Ara-3	10.22	0.09	0.11
Ara+1, Ara+3, Ara-1, Ara-4	16.69	0.07	0.10
Ara+1, Ara+3, Ara-1, Ara-5	16.12	0.08	0.11
Ara+1, Ara+3, Ara-1, Ara-6	10.09	0.05	0.09
Ara+1, Ara+3, Ara-2, Ara-3	8.39	0.12	0.11
Ara+1, Ara+3, Ara-2, Ara-4	13.54	0.09	0.10
Ara+1, Ara+3, Ara-2, Ara-5	11.36	0.11	0.12
Ara+1, Ara+3, Ara-2, Ara-6	8.41	0.07	0.09
Ara+1, Ara+3, Ara-3, Ara-4	9.70	0.08	0.10
Ara+1, Ara+3, Ara-3, Ara-5	9.43	0.08	0.10
Ara+1, Ara+3, Ara-3, Ara-6	7.32	0.05	0.09
Ara+1, Ara+3, Ara-4, Ara-5	14.60	0.07	0.10
Ara+1, Ara+3, Ara-4, Ara-6	9.78	0.04	0.08
Ara+1, Ara+3, Ara-5, Ara-6	8.45	0.05	0.09
Ara+1, Ara+4, Ara+5, Ara-1	10.46	0.07	0.09
Ara+1, Ara+4, Ara+5, Ara-2	8.44	0.09	0.10
Ara+1, Ara+4, Ara+5, Ara-3	7.93	0.07	0.10
Ara+1, Ara+4, Ara+5, Ara-4	11.21	0.06	0.09
Ara+1, Ara+4, Ara+5, Ara-5	14.32	0.06	0.09
Ara+1, Ara+4, Ara+5, Ara-6	8.80	0.04	0.08
Ara+1, Ara+4, Ara-1, Ara-2	10.75	0.09	0.10
Ara+1, Ara+4, Ara-1, Ara-3	8.92	0.07	0.10
Ara+1, Ara+4, Ara-1, Ara-4	13.65	0.05	0.08
