Strain Combination	Observed Ratio (%)	Simulated Mean (%)	Simulated Std Dev (%)
Ara+1, Ara+2, Ara-1, Ara-6	11.52	0.43	0.24
Ara+1, Ara+2, Ara-2, Ara-3	13.84	0.97	0.32
Ara+1, Ara+2, Ara-2, Ara-4	18.48	0.69	0.29
Ara+1, Ara+2, Ara-2, Ara-5	16.94	0.82	0.30
Ara+1, Ara+2, Ara-2, Ara-6	10.74	0.53	0.26
Ara+1, Ara+2, Ara-3, Ara-4	13.51	0.59	0.28
Ara+1, Ara+2, Ara-3, Ara-5	13.72	0.71	0.29
Ara+1, Ara+2, Ara-3, Ara-6	8.57	0.46	0.25
Ara+1, Ara+2, Ara-4, Ara-5	19.30	0.50	0.26
Ara+1, Ara+2, Ara-4, Ara-6	12.39	0.35	0.23
Ara+1, Ara+2, Ara-5, Ara-6	10.93	0.40	0.25
Ara+1, Ara+3, Ara+4, Ara+5	11.72	0.57	0.27
Ara+1, Ara+3, Ara+4, Ara-1	14.22	0.56	0.26
Ara+1, Ara+3, Ara+4, Ara-2	11.41	0.71	0.28
Ara+1, Ara+3, Ara+4, Ara-3	10.45	0.61	0.29
Ara+1, Ara+3, Ara+4, Ara-4	14.51	0.45	0.26
Ara+1, Ara+3, Ara+4, Ara-5	13.04	0.54	0.26
Ara+1, Ara+3, Ara+4, Ara-6	9.90	0.35	0.23
Ara+1, Ara+3, Ara+5, Ara-1	12.03	0.72	0.28
Ara+1, Ara+3, Ara+5, Ara-2	12.68	0.89	0.31
Ara+1, Ara+3, Ara+5, Ara-3	12.47	0.75	0.31
Ara+1, Ara+3, Ara+5, Ara-4	13.09	0.59	0.27
Ara+1, Ara+3, Ara+5, Ara-5	13.70	0.66	0.29
Ara+1, Ara+3, Ara+5, Ara-6	8.74	0.44	0.26
Ara+1, Ara+3, Ara-1, Ara-2	15.43	0.89	0.32
Ara+1, Ara+3, Ara-1, Ara-3	11.94	0.77	0.30
Ara+1, Ara+3, Ara-1, Ara-4	17.63	0.55	0.26
Ara+1, Ara+3, Ara-1, Ara-5	17.03	0.66	0.29
Ara+1, Ara+3, Ara-1, Ara-6	10.94	0.43	0.24
Ara+1, Ara+3, Ara-2, Ara-3	12.81	0.94	0.32
Ara+1, Ara+3, Ara-2, Ara-4	15.14	0.70	0.29
Ara+1, Ara+3, Ara-2, Ara-5	14.09	0.83	0.31
Ara+1, Ara+3, Ara-2, Ara-6	9.83	0.55	0.26
Ara+1, Ara+3, Ara-3, Ara-4	11.53	0.59	0.28
Ara+1, Ara+3, Ara-3, Ara-5	11.94	0.69	0.29
Ara+1, Ara+3, Ara-3, Ara-6	8.29	0.46	0.24
Ara+1, Ara+3, Ara-4, Ara-5	15.98	0.51	0.26
Ara+1, Ara+3, Ara-4, Ara-6	10.70	0.34	0.23
Ara+1, Ara+3, Ara-5, Ara-6	9.46	0.38	0.23
Ara+1, Ara+4, Ara+5, Ara-1	11.68	0.54	0.27
Ara+1, Ara+4, Ara+5, Ara-2	12.91	0.69	0.29
Ara+1, Ara+4, Ara+5, Ara-3	11.50	0.59	0.27
Ara+1, Ara+4, Ara+5, Ara-4	13.83	0.44	0.25
Ara+1, Ara+4, Ara+5, Ara-5	15.71	0.51	0.27
Ara+1, Ara+4, Ara+5, Ara-6	9.88	0.34	0.22
Ara+1, Ara+4, Ara-1, Ara-2	12.75	0.66	0.28
Ara+1, Ara+4, Ara-1, Ara-3	9.99	0.58	0.27
Ara+1, Ara+4, Ara-1, Ara-4	14.39	0.42	0.26
Ara+1, Ara+4, Ara-1, Ara-5	12.89	0.51	0.27
Ara+1, Ara+4, Ara-1, Ara-6	10.90	0.34	0.24
Ara+1, Ara+4, Ara-2, Ara-3	11.58	0.72	0.29
Ara+1, Ara+4, Ara-2, Ara-4	14.12	0.53	0.26
Ara+1, Ara+4, Ara-2, Ara-5	13.54	0.62	0.28
Ara+1, Ara+4, Ara-2, Ara-6	10.12	0.40	0.24
Ara+1, Ara+4, Ara-3, Ara-4	11.97	0.46	0.26
Ara+1, Ara+4, Ara-3, Ara-5	12.40	0.54	0.27
Ara+1, Ara+4, Ara-3, Ara-6	8.15	0.36	0.23
Ara+1, Ara+4, Ara-4, Ara-5	14.75	0.40	0.25
Ara+1, Ara+4, Ara-4, Ara-6	12.15	0.27	0.21
Ara+1, Ara+4, Ara-5, Ara-6	9.76	0.31	0.22
Ara+1, Ara+5, Ara-1, Ara-2	13.49	0.86	0.31
Ara+1, Ara+5, Ara-1, Ara-3	10.95	0.72	0.30
Ara+1, Ara+5, Ara-1, Ara-4	14.31	0.54	0.28
Ara+1, Ara+5, Ara-1, Ara-5	14.88	0.63	0.29
Ara+1, Ara+5, Ara-1, Ara-6	9.50	0.41	0.24
Ara+1, Ara+5, Ara-2, Ara-3	14.32	0.90	0.33
Ara+1, Ara+5, Ara-2, Ara-4	15.31	0.66	0.28
Ara+1, Ara+5, Ara-2, Ara-5	16.27	0.79	0.30
Ara+1, Ara+5, Ara-2, Ara-6	9.81	0.52	0.25
Ara+1, Ara+5, Ara-3, Ara-4	13.26	0.59	0.28
Ara+1, Ara+5, Ara-3, Ara-5	15.00	0.68	0.30
Ara+1, Ara+5, Ara-3, Ara-6	8.11	0.46	0.25
Ara+1, Ara+5, Ara-4, Ara-5	16.32	0.49	0.26
Ara+1, Ara+5, Ara-4, Ara-6	10.38	0.33	0.22
Ara+1, Ara+5, Ara-5, Ara-6	10.03	0.40	0.23
Ara+1, Ara-1, Ara-2, Ara-3	12.68	0.90	0.32
Ara+1, Ara-1, Ara-2, Ara-4	16.92	0.67	0.28
Ara+1, Ara-1, Ara-2, Ara-5	16.63	0.78	0.30
Ara+1, Ara-1, Ara-2, Ara-6	11.73	0.50	0.26
Ara+1, Ara-1, Ara-3, Ara-4	12.02	0.55	0.28
Ara+1, Ara-1, Ara-3, Ara-5	13.06	0.67	0.29
Ara+1, Ara-1, Ara-3, Ara-6	9.31	0.43	0.25
Ara+1, Ara-1, Ara-4, Ara-5	17.29	0.50	0.26
Ara+1, Ara-1, Ara-4, Ara-6	12.82	0.33	0.23
Ara+1, Ara-1, Ara-5, Ara-6	10.27	0.38	0.24
Ara+1, Ara-2, Ara-3, Ara-4	13.69	0.71	0.29
Ara+1, Ara-2, Ara-3, Ara-5	14.35	0.81	0.30
Ara+1, Ara-2, Ara-3, Ara-6	9.63	0.53	0.26
Ara+1, Ara-2, Ara-4, Ara-5	16.91	0.59	0.27
Ara+1, Ara-2, Ara-4, Ara-6	12.13	0.39	0.23
Ara+1, Ara-2, Ara-5, Ara-6	11.19	0.46	0.25
Ara+1, Ara-3, Ara-4, Ara-5	12.71	0.52	0.28
Ara+1, Ara-3, Ara-4, Ara-6	9.55	0.36	0.24
Ara+1, Ara-3, Ara-5, Ara-6	9.39	0.41	0.24
Ara+1, Ara-4, Ara-5, Ara-6	11.24	0.32	0.22
Ara+2, Ara+3, Ara+4, Ara+5	15.50	0.61	0.28
Ara+2, Ara+3, Ara+4, Ara-1	14.95	0.60	0.28
Ara+2, Ara+3, Ara+4, Ara-2	14.42	0.72	0.29
Ara+2, Ara+3, Ara+4, Ara-3	14.05	0.61	0.28
Ara+2, Ara+3, Ara+4, Ara-4	17.55	0.47	0.25
Ara+2, Ara+3, Ara+4, Ara-5	14.48	0.55	0.27
Ara+2, Ara+3, Ara+4, Ara-6	12.44	0.35	0.23
Ara+2, Ara+3, Ara+5, Ara-1	14.10	0.74	0.30
Ara+2, Ara+3, Ara+5, Ara-2	15.38	0.93	0.33
Ara+2, Ara+3, Ara+5, Ara-3	15.93	0.80	0.30
Ara+2, Ara+3, Ara+5, Ara-4	15.54	0.60	0.27
Ara+2, Ara+3, Ara+5, Ara-5	15.03	0.69	0.29
Ara+2, Ara+3, Ara+5, Ara-6	10.69	0.46	0.24
Ara+2, Ara+3, Ara-1, Ara-2	16.51	0.92	0.32
Ara+2, Ara+3, Ara-1, Ara-3	13.73	0.77	0.31
Ara+2, Ara+3, Ara-1, Ara-4	19.51	0.59	0.28
Ara+2, Ara+3, Ara-1, Ara-5	15.91	0.67	0.30
Ara+2, Ara+3, Ara-1, Ara-6	12.32	0.45	0.25
Ara+2, Ara+3, Ara-2, Ara-3	16.92	0.98	0.32
Ara+2, Ara+3, Ara-2, Ara-4	19.20	0.72	0.30
Ara+2, Ara+3, Ara-2, Ara-5	15.08	0.86	0.32
Ara+2, Ara+3, Ara-2, Ara-6	11.23	0.56	0.27
Ara+2, Ara+3, Ara-3, Ara-4	14.60	0.63	0.29
Ara+2, Ara+3, Ara-3, Ara-5	13.40	0.75	0.30
Ara+2, Ara+3, Ara-3, Ara-6	10.48	0.48	0.25
Ara+2, Ara+3, Ara-4, Ara-5	16.97	0.55	0.27
Ara+2, Ara+3, Ara-4, Ara-6	12.93	0.36	0.23
Ara+2, Ara+3, Ara-5, Ara-6	10.18	0.40	0.23
Ara+2, Ara+4, Ara+5, Ara-1	12.45	0.58	0.27
Ara+2, Ara+4, Ara+5, Ara-2	14.82	0.71	0.30
Ara+2, Ara+4, Ara+5, Ara-3	14.34	0.60	0.27
Ara+2, Ara+4, Ara+5, Ara-4	16.34	0.45	0.25
Ara+2, Ara+4, Ara+5, Ara-5	15.21	0.52	0.27
Ara+2, Ara+4, Ara+5, Ara-6	13.37	0.35	0.23
Ara+2, Ara+4, Ara-1, Ara-2	12.71	0.70	0.30
Ara+2, Ara+4, Ara-1, Ara-3	11.43	0.61	0.28
Ara+2, Ara+4, Ara-1, Ara-4	16.77	0.43	0.24
Ara+2, Ara+4, Ara-1, Ara-5	12.15	0.53	0.27
Ara+2, Ara+4, Ara-1, Ara-6	12.57	0.33	0.22
Ara+2, Ara+4, Ara-2, Ara-3	14.44	0.74	0.28
Ara+2, Ara+4, Ara-2, Ara-4	16.68	0.54	0.26
Ara+2, Ara+4, Ara-2, Ara-5	14.11	0.65	0.28
Ara+2, Ara+4, Ara-2, Ara-6	13.02	0.42	0.24
Ara+2, Ara+4, Ara-3, Ara-4	14.47	0.47	0.26
Ara+2, Ara+4, Ara-3, Ara-5	13.17	0.54	0.26
Ara+2, Ara+4, Ara-3, Ara-6	12.19	0.37	0.24
Ara+2, Ara+4, Ara-4, Ara-5	16.45	0.40	0.24
Ara+2, Ara+4, Ara-4, Ara-6	16.41	0.28	0.21
Ara+2, Ara+4, Ara-5, Ara-6	11.96	0.31	0.23
Ara+2, Ara+5, Ara-1, Ara-2	13.79	0.89	0.33
Ara+2, Ara+5, Ara-1, Ara-3	12.78	0.77	0.30
Ara+2, Ara+5, Ara-1, Ara-4	16.12	0.56	0.27
Ara+2, Ara+5, Ara-1, Ara-5	15.32	0.65	0.28
Ara+2, Ara+5, Ara-1, Ara-6	11.34	0.43	0.25
Ara+2, Ara+5, Ara-2, Ara-3	15.39	0.96	0.32
Ara+2, Ara+5, Ara-2, Ara-4	16.46	0.70	0.29
Ara+2, Ara+5, Ara-2, Ara-5	15.95	0.84	0.31
Ara+2, Ara+5, Ara-2, Ara-6	11.49	0.55	0.26
Ara+2, Ara+5, Ara-3, Ara-4	14.12	0.60	0.28
Ara+2, Ara+5, Ara-3, Ara-5	15.31	0.69	0.29
Ara+2, Ara+5, Ara-3, Ara-6	11.30	0.45	0.25
Ara+2, Ara+5, Ara-4, Ara-5	16.63	0.53	0.27
Ara+2, Ara+5, Ara-4, Ara-6	13.11	0.35	0.23
Ara+2, Ara+5, Ara-5, Ara-6	12.06	0.40	0.23
Ara+2, Ara-1, Ara-2, Ara-3	13.90	0.93	0.32
Ara+2, Ara-1, Ara-2, Ara-4	18.56	0.66	0.28
Ara+2, Ara-1, Ara-2, Ara-5	14.99	0.80	0.32
Ara+2, Ara-1, Ara-2, Ara-6	12.48	0.52	0.26
Ara+2, Ara-1, Ara-3, Ara-4	14.76	0.58	0.28
Ara+2, Ara-1, Ara-3, Ara-5	12.64	0.69	0.30
